,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-05,Humid and partly cloudy throughout the day.,rain,1599264000,1599309300,0.6,0.3448,0.9796,1599299700,0.53,rain,29.34,1599290280,17.48,1599350160,33.21,1599292440,18.06,1599350220,21.71,0.92,1007.7,0.73,2.48,1599296100,247,0.51,8,1599286920,15.035,265.3,16.66,1599263340,29.34,1599290280,17.36,1599263340,33.21,1599292440
1,2020-09-06,Rain overnight.,rain,1599350400,1599395640,0.64,0.63,1.5146,1599384540,0.55,rain,29.74,1599377520,17.93,1599436560,34.05,1599385800,18.65,1599436620,21.54,0.9,1007.0,0.71,2.23,1599382140,178,0.53,9,1599372600,11.881,261.0,17.48,1599350160,29.74,1599377520,18.06,1599350220,34.05,1599385800
2,2020-09-07,Humid and mostly cloudy throughout the day.,rain,1599436860,1599481980,0.67,0.6625,1.6509,1599469560,0.69,rain,29.03,1599465660,17.67,1599522960,34.17,1599471780,18.59,1599523020,21.61,0.93,1007.8,0.82,2.56,1599468780,206,0.69,9,1599458400,13.281,260.3,17.93,1599436560,29.03,1599465660,18.65,1599436620,34.17,1599471780
3,2020-09-08,Humid and partly cloudy throughout the day.,rain,1599523260,1599568320,0.7,0.5108,1.147,1599555780,0.62,rain,28.77,1599549600,17.92,1599609420,33.66,1599553740,18.83,1599609540,21.99,0.96,1008.4,0.79,1.77,1599538680,157,0.68,8,1599547860,13.3,262.0,17.67,1599522960,28.77,1599549600,18.59,1599523020,33.66,1599553740
4,2020-09-09,Rain in the morning.,rain,1599609720,1599654660,0.73,0.5416,1.8949,1599631260,0.63,rain,27.89,1599640500,16.91,1599695640,31.22,1599642900,17.66,1599695760,21.66,0.96,1008.0,0.58,1.13,1599640140,22,0.98,6,1599631800,14.263,259.7,17.92,1599609420,27.89,1599640500,18.83,1599609540,31.22,1599642900
5,2020-09-10,Humid and mostly cloudy throughout the day.,rain,1599696120,1599741000,0.76,0.1589,0.4806,1599740040,0.43,rain,28.88,1599728040,17.45,1599781920,32.02,1599728940,18.11,1599781980,21.08,0.92,1005.4,0.67,1.42,1599718500,157,0.72,8,1599719520,16.093,250.8,16.91,1599695640,28.88,1599728040,17.66,1599695760,32.02,1599728940
6,2020-09-11,Humid and mostly cloudy throughout the day.,rain,1599782520,1599827280,0.79,0.4345,1.3177,1599816000,0.64,rain,28.45,1599809580,18.28,1599868440,32.67,1599813360,19.19,1599868560,21.59,0.94,1006.1,0.77,2.5,1599814260,134,0.82,8,1599805680,12.797,250.9,17.45,1599781920,28.45,1599809580,18.11,1599781980,32.67,1599813360
7,2020-09-12,Humid and mostly cloudy throughout the day.,rain,1599868980,1599913620,0.82,0.2474,0.4036,1599922860,0.63,rain,29.84,1599900720,18.78,1599954600,34.31,1599902100,19.76,1599954780,21.9,0.92,1008.3,0.59,1.56,1599890700,74,0.87,6,1599895380,12.865,254.1,18.28,1599868440,29.84,1599900720,19.19,1599868560,34.31,1599902100
