,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-05,Partly cloudy throughout the day.,rain,1599264060,1599309420,0.6,0.2398,0.9328,1599296820,0.41,rain,26.94,1599289740,17.76,1599349920,28.2,1599290400,18.48,1599349980,19.31,0.89,1007.8,0.86,2.42,1599295620,250,0.34,10,1599285000,14.86,265.2,16.52,1599262800,26.94,1599289740,17.2,1599262920,28.2,1599290400
1,2020-09-06,Humid throughout the day.,rain,1599350520,1599395760,0.64,0.6986,1.7286,1599384120,0.57,rain,26.85,1599376020,17.56,1599436500,28.2,1599376800,18.33,1599436680,19.91,0.92,1006.9,0.92,2.37,1599382560,254,0.46,9,1599373800,11.786,261.1,17.76,1599349920,26.85,1599376020,18.48,1599349980,28.2,1599376800
2,2020-09-07,Humid and partly cloudy throughout the day.,rain,1599436920,1599482040,0.67,0.5051,1.3941,1599469380,0.63,rain,26.38,1599462360,17.24,1599523020,28.01,1599462660,18.33,1599523140,20.24,0.96,1007.7,0.89,2.57,1599467700,197,0.52,11,1599458100,13.259,260.2,17.56,1599436500,26.38,1599462360,18.33,1599436680,28.01,1599462660
3,2020-09-08,Humid and mostly cloudy throughout the day.,rain,1599523320,1599568380,0.7,0.4877,1.6013,1599555300,0.58,rain,26.28,1599548280,17.22,1599609540,27.88,1599548460,18.33,1599609660,20.44,0.98,1008.4,0.83,1.79,1599545700,164,0.79,7,1599546960,12.57,262.1,17.24,1599523020,26.28,1599548280,18.33,1599523140,27.88,1599548460
4,2020-09-09,Humid throughout the day.,rain,1599609780,1599654720,0.73,0.5551,2.6217,1599631980,0.59,rain,25.93,1599638160,16.79,1599695820,26.3,1599638160,17.52,1599696000,19.9,0.95,1008.0,0.64,1.44,1599604500,149,0.97,6,1599631500,13.647,259.4,17.22,1599609540,25.93,1599638160,18.33,1599609660,26.3,1599638160
5,2020-09-10,Humid and mostly cloudy throughout the day.,rain,1599696180,1599741060,0.76,0.3117,0.7887,1599736860,0.44,rain,25.81,1599721980,16.67,1599781920,26.09,1599722100,17.16,1599782040,19.34,0.92,1005.1,0.63,1.35,1599760260,232,0.9,7,1599718500,13.372,250.7,16.79,1599695820,25.81,1599721980,17.52,1599696000,26.09,1599722100
6,2020-09-11,Humid and mostly cloudy throughout the day.,rain,1599782640,1599827400,0.79,0.5417,1.3446,1599814920,0.69,rain,25.62,1599809940,17.06,1599868500,26.0,1599810900,17.9,1599868620,19.47,0.92,1005.9,0.75,2.32,1599814500,157,0.91,8,1599804600,11.814,250.5,16.67,1599781920,25.62,1599809940,17.16,1599782040,26.0,1599810900
7,2020-09-12,Rain overnight.,rain,1599869040,1599913740,0.82,0.4469,0.7455,1599922140,0.69,rain,27.79,1599900960,17.41,1599954960,30.72,1599901440,18.4,1599955140,20.43,0.94,1008.2,0.86,2.65,1599890040,144,0.93,6,1599895320,10.219,253.8,17.06,1599868500,27.79,1599900960,17.9,1599868620,30.72,1599901440
