,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-05,Humid throughout the day.,rain,1599264300,1599309660,0.6,0.1517,0.6666,1599243300,0.5,rain,36.62,1599290760,23.08,1599349620,43.19,1599301140,23.95,1599349740,22.01,0.65,1006.3,1.34,2.86,1599302640,298,0.16,10,1599285660,15.959,268.6,21.82,1599262920,36.62,1599290760,22.43,1599262980,43.19,1599301140
1,2020-09-06,Rain overnight and in the evening.,rain,1599350760,1599396000,0.64,0.6635,1.2931,1599405120,0.78,rain,36.3,1599379740,22.39,1599436200,43.74,1599387060,23.5,1599436320,23.71,0.74,1005.5,1.31,3.0,1599381840,218,0.35,10,1599372300,13.72,264.6,23.08,1599349620,36.3,1599379740,23.95,1599349740,43.74,1599387060
2,2020-09-07,Rain overnight and in the evening.,rain,1599437160,1599482340,0.67,0.476,1.1492,1599502500,0.81,rain,35.23,1599465660,23.04,1599522420,46.19,1599472740,23.92,1599522600,25.46,0.85,1006.6,1.26,2.44,1599468660,126,0.55,7,1599457320,14.543,263.2,22.39,1599436200,35.23,1599465660,23.5,1599436320,46.19,1599472740
3,2020-09-08,Rain and humid throughout the day.,rain,1599523620,1599568680,0.7,0.6452,1.165,1599505560,0.87,rain,35.03,1599549120,22.61,1599609540,45.73,1599561600,23.64,1599609720,25.18,0.83,1007.0,1.35,2.33,1599554400,107,0.95,5,1599549240,14.961,265.4,23.04,1599522420,35.03,1599549120,23.92,1599522600,45.73,1599561600
4,2020-09-09,Rain overnight and in the morning.,rain,1599610020,1599654960,0.73,1.4376,4.7436,1599619320,0.9,rain,34.27,1599639600,22.79,1599695340,42.86,1599642600,23.92,1599695520,24.33,0.83,1006.8,1.31,3.53,1599611400,84,0.92,5,1599633120,9.955,263.3,22.61,1599609540,34.27,1599639600,23.64,1599609720,42.86,1599642600
5,2020-09-10,Possible light rain overnight and in the evening.,rain,1599696480,1599741300,0.76,0.272,0.7145,1599739320,0.76,rain,35.07,1599727260,23.33,1599781560,42.01,1599728580,24.54,1599781740,24.35,0.81,1004.3,1.02,1.94,1599729120,2,0.78,8,1599719220,15.091,254.2,22.79,1599695340,35.07,1599727260,23.92,1599695520,42.01,1599728580
6,2020-09-11,Possible light rain in the morning and afternoon.,rain,1599782880,1599827640,0.79,0.3437,0.6499,1599769800,0.81,rain,34.29,1599812460,23.09,1599867960,44.02,1599815820,24.14,1599868080,24.98,0.82,1004.6,1.22,2.82,1599822000,96,0.78,7,1599806760,15.051,253.7,23.33,1599781560,34.29,1599812460,24.54,1599781740,44.02,1599815820
7,2020-09-12,Rain in the afternoon and evening.,rain,1599869340,1599913980,0.82,0.4975,1.173,1599896640,0.73,rain,36.07,1599897600,24.35,1599954360,44.82,1599907620,25.47,1599954180,24.57,0.76,1006.7,1.46,3.59,1599880500,88,0.93,7,1599891000,13.962,256.8,23.09,1599867960,36.07,1599897600,24.14,1599868080,44.82,1599907620
