,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-08,Humid and mostly cloudy throughout the day.,rain,1599523020,1599568020,0.7,0.3437,0.9788,1599557760,0.53,rain,26.65,1599546960,20.14,1599609360,30.33,1599547140,21.59,1599609360,22.67,1.0,1008.5,0.8,2.36,1599549360,177,0.85,8,1599544560,14.285,266.5,20.15,1599523860,26.65,1599546960,21.76,1599522780,30.33,1599547140
1,2020-09-09,Humid and mostly cloudy throughout the day.,rain,1599609420,1599654360,0.73,0.3833,1.1045,1599642000,0.51,rain,28.31,1599634500,20.22,1599695700,34.84,1599634980,21.5,1599695700,23.2,0.99,1007.6,0.87,2.68,1599637440,198,0.85,9,1599630900,14.981,261.0,20.14,1599609360,28.31,1599634500,21.59,1599609360,34.84,1599634980
2,2020-09-10,Rain in the afternoon and evening.,rain,1599695880,1599740640,0.76,0.5672,1.5061,1599729120,0.64,rain,27.49,1599717720,19.37,1599782160,32.08,1599719100,20.52,1599782160,22.65,0.99,1005.5,0.95,2.19,1599722520,138,0.88,9,1599717120,12.247,256.1,20.22,1599695700,27.49,1599717720,21.5,1599695700,32.08,1599719100
3,2020-09-11,Humid and mostly cloudy throughout the day.,rain,1599782280,1599826980,0.79,0.2865,0.6835,1599806340,0.54,rain,27.05,1599807840,19.47,1599868500,30.5,1599807660,20.45,1599868620,22.5,0.98,1006.1,1.1,2.06,1599810720,132,0.7,8,1599806160,12.87,255.7,19.37,1599782160,27.05,1599807840,20.52,1599782160,30.5,1599807660
4,2020-09-12,Humid and mostly cloudy throughout the day.,rain,1599868680,1599913320,0.82,0.3473,1.209,1599901860,0.44,rain,27.84,1599894360,19.65,1599954900,31.26,1599894900,20.39,1599955020,22.27,0.94,1007.9,1.09,2.53,1599892980,153,0.89,7,1599889980,13.74,256.6,19.47,1599868500,27.84,1599894360,20.45,1599868620,31.26,1599894900
5,2020-09-13,Humid and mostly cloudy throughout the day.,rain,1599955140,1599999660,0.86,0.1871,0.6332,1599988980,0.42,rain,28.35,1599978240,19.66,1600041360,30.82,1599979860,20.56,1600041480,21.63,0.9,1007.8,1.16,2.59,1599979200,136,0.83,9,1599977100,13.291,261.5,19.65,1599954900,28.35,1599978240,20.39,1599955020,30.82,1599979860
6,2020-09-14,Humid and partly cloudy throughout the day.,rain,1600041540,1600086000,0.89,0.2026,0.5476,1600073160,0.51,rain,27.96,1600067040,19.6,1600128420,30.25,1600069140,20.55,1600128420,21.63,0.91,1007.5,1.14,2.42,1600073400,139,0.56,10,1600063320,13.586,258.7,19.66,1600041360,27.96,1600067040,20.56,1600041480,30.25,1600069140
7,2020-09-15,Rain in the morning and afternoon.,rain,1600128000,1600172340,0.93,0.4067,1.0823,1600159980,0.66,rain,26.73,1600159980,19.23,1600213980,28.52,1600159500,19.98,1600214040,21.66,0.96,1007.5,1.06,2.71,1600159260,96,0.95,6,1600150140,14.118,253.2,19.6,1600128420,26.73,1600159980,20.55,1600128420,28.52,1600159500
