,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-08,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599524220,1599569340,0.7,0.1991,0.5675,1599563760,0.3,rain,30.83,1599547440,20.76,1599609180,37.13,1599562500,21.64,1599609300,23.86,0.93,1008.6,1.05,2.41,1599553740,193,0.45,9,1599545640,16.046,265.9,20.14,1599522300,30.83,1599547440,21.16,1599522420,37.13,1599562500
1,2020-09-09,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599610680,1599655680,0.73,0.1046,0.3737,1599652800,0.19,rain,30.86,1599635040,19.89,1599695460,37.33,1599648840,20.81,1599695520,23.41,0.9,1008.3,1.1,2.36,1599606780,201,0.6,11,1599631500,16.061,266.0,20.76,1599609180,30.86,1599635040,21.64,1599609300,37.33,1599648840
2,2020-09-10,Humid throughout the day.,clear-day,1599697080,1599742020,0.76,0.1173,0.4631,1599737880,0.19,rain,30.97,1599721680,20.42,1599781680,37.67,1599735300,21.36,1599781740,23.54,0.91,1005.8,1.17,2.31,1599693600,178,0.2,10,1599718200,15.845,257.6,19.89,1599695460,30.97,1599721680,20.81,1599695520,37.67,1599735300
3,2020-09-11,Humid throughout the day.,clear-day,1599783540,1599828360,0.79,0.2642,0.7581,1599825720,0.24,rain,30.5,1599808080,20.12,1599868800,38.5,1599821100,21.22,1599868800,23.66,0.92,1006.3,1.05,2.18,1599776760,151,0.15,10,1599805140,15.702,254.3,20.42,1599781680,30.5,1599808080,21.36,1599781740,38.5,1599821100
4,2020-09-12,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599869940,1599914640,0.82,0.1472,0.5159,1599848100,0.2,rain,30.82,1599898440,20.68,1599955500,37.51,1599907920,21.7,1599955500,23.84,0.93,1008.7,1.01,2.4,1599866340,98,0.34,10,1599890400,16.093,256.3,20.12,1599868800,30.82,1599898440,21.22,1599868800,37.51,1599907920
5,2020-09-13,Humid throughout the day.,clear-day,1599956400,1600000980,0.86,0.1895,0.5467,1599953880,0.17,rain,30.82,1599987960,20.69,1600041300,36.65,1599988740,21.53,1600041360,23.62,0.92,1008.6,1.03,1.95,1599953760,136,0.32,10,1599977520,16.093,261.0,20.68,1599955500,30.82,1599987960,21.7,1599955500,36.65,1599988740
6,2020-09-14,Humid throughout the day.,clear-day,1600042800,1600087320,0.89,0.1797,0.626,1600084680,0.25,rain,31.17,1600071060,20.38,1600127760,36.01,1600072500,21.33,1600127760,22.94,0.86,1007.7,1.09,2.08,1600067100,161,0.17,11,1600064340,16.093,261.0,20.69,1600041300,31.17,1600071060,21.53,1600041360,36.01,1600072500
7,2020-09-15,Humid throughout the day.,clear-day,1600129260,1600173660,0.93,0.3496,1.1458,1600118520,0.36,rain,30.81,1600159320,20.04,1600214460,34.38,1600159860,20.98,1600214520,22.71,0.89,1007.5,1.12,2.18,1600168620,240,0.12,11,1600150740,16.093,257.0,20.38,1600127760,30.81,1600159320,21.33,1600127760,34.38,1600159860
