,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-08,Humid and partly cloudy throughout the day.,rain,1599523680,1599568740,0.7,0.3657,0.6277,1599574380,0.43,rain,31.45,1599548760,22.12,1599608520,35.41,1599553320,22.87,1599608520,22.63,0.8,1008.7,0.79,1.85,1599555060,19,0.66,10,1599545760,14.791,268.3,22.57,1599523080,31.45,1599548760,23.68,1599522840,35.41,1599553320
1,2020-09-09,Humid and mostly cloudy throughout the day.,rain,1599610080,1599655020,0.73,0.3553,0.7066,1599640440,0.4,rain,33.4,1599640800,22.33,1599695040,36.83,1599644580,23.13,1599695040,21.56,0.71,1008.0,0.89,2.16,1599640020,40,0.9,7,1599631320,14.47,265.0,22.12,1599608520,33.4,1599640800,22.87,1599608520,36.83,1599644580
2,2020-09-10,Humid and partly cloudy throughout the day.,rain,1599696540,1599741360,0.76,0.3708,0.9505,1599761700,0.43,rain,34.53,1599721620,21.15,1599781680,37.29,1599722700,21.92,1599781680,21.3,0.7,1005.4,1.0,1.92,1599727860,44,0.77,9,1599718080,14.705,259.8,22.33,1599695040,34.53,1599721620,23.13,1599695040,37.29,1599722700
3,2020-09-11,Humid and mostly cloudy throughout the day.,rain,1599782940,1599827700,0.79,0.6281,1.0218,1599770580,0.54,rain,32.69,1599813540,20.67,1599868020,36.79,1599819240,21.31,1599868080,21.28,0.73,1006.3,0.94,1.71,1599807360,62,0.87,8,1599805080,14.979,256.7,21.15,1599781680,32.69,1599813540,21.92,1599781680,36.79,1599819240
4,2020-09-12,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599869340,1599914040,0.82,0.2206,0.4637,1599902160,0.26,rain,34.03,1599894780,20.48,1599954540,37.79,1599901860,21.14,1599954600,20.71,0.68,1008.1,1.04,2.56,1599900600,45,0.61,11,1599890460,15.302,257.3,20.67,1599868020,34.03,1599894780,21.31,1599868080,37.79,1599901860
5,2020-09-13,Humid throughout the day.,clear-day,1599955800,1600000380,0.86,0.3895,0.7884,1599995820,0.37,rain,34.44,1599984240,21.38,1600041000,36.92,1599986160,22.08,1600041120,20.22,0.68,1008.3,0.99,2.03,1599986880,45,0.53,10,1599978780,15.058,261.8,20.48,1599954540,34.44,1599984240,21.14,1599954600,36.92,1599986160
6,2020-09-14,Humid and mostly cloudy throughout the day.,rain,1600042200,1600086720,0.89,0.6762,1.2906,1600078680,0.65,rain,32.83,1600066740,22.16,1600127220,34.74,1600077540,23.12,1600127220,20.74,0.71,1007.7,0.94,1.92,1600071420,68,0.79,8,1600065240,11.979,261.3,21.38,1600041000,32.83,1600066740,22.08,1600041120,34.74,1600077540
7,2020-09-15,Possible light rain in the morning.,rain,1600128660,1600173000,0.93,0.5376,0.7712,1600170660,0.66,rain,30.69,1600149960,22.84,1600213260,33.91,1600151220,23.81,1600213260,22.28,0.79,1007.6,0.96,2.02,1600159080,72,0.61,10,1600150740,13.522,256.4,22.16,1600127220,30.69,1600149960,23.12,1600127220,33.91,1600151220
