,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-08,Humid and partly cloudy throughout the day.,rain,1599524160,1599569280,0.7,0.3132,0.8706,1599556500,0.4,rain,27.55,1599548580,19.98,1599610920,34.28,1599551160,21.5,1599610320,23.23,1.0,1009.1,0.88,2.06,1599550800,200,0.59,9,1599544800,15.798,264.8,19.29,1599522240,27.55,1599548580,20.76,1599521940,34.28,1599551160
1,2020-09-09,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599610560,1599655620,0.73,0.2284,0.6608,1599645780,0.32,rain,27.35,1599634380,19.21,1599695760,33.18,1599634380,20.52,1599695640,23.14,1.0,1008.8,0.88,2.04,1599634920,198,0.58,11,1599631320,15.835,264.6,19.98,1599610920,27.35,1599634380,21.5,1599610320,33.18,1599634380
2,2020-09-10,Humid throughout the day.,clear-day,1599697020,1599741900,0.76,0.1777,0.5063,1599735240,0.29,rain,28.04,1599721560,19.16,1599782340,34.48,1599727140,20.34,1599782280,23.23,0.99,1006.1,0.97,1.81,1599722160,185,0.2,11,1599718020,15.114,256.5,19.21,1599695760,28.04,1599721560,20.52,1599695640,34.48,1599727140
3,2020-09-11,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599783420,1599828240,0.79,0.3316,1.0808,1599825660,0.32,rain,28.47,1599807600,19.27,1599868680,34.63,1599813720,20.54,1599868620,23.02,0.98,1006.9,0.89,1.65,1599813900,165,0.31,9,1599804360,16.093,253.0,19.16,1599782340,28.47,1599807600,20.34,1599782280,34.63,1599813720
4,2020-09-12,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599869880,1599914580,0.82,0.1372,0.6976,1599848100,0.25,rain,28.7,1599898020,19.75,1599955500,35.0,1599903180,20.98,1599955440,23.37,0.99,1008.9,0.87,1.83,1599900660,221,0.3,10,1599890640,16.093,254.9,19.27,1599868680,28.7,1599898020,20.54,1599868620,35.0,1599903180
5,2020-09-13,Humid and partly cloudy throughout the day.,partly-cloudy-day,1599956280,1600000920,0.86,0.1669,0.4511,1599987540,0.24,rain,29.3,1599984300,19.07,1600041480,34.89,1599984960,20.17,1600041480,23.28,0.97,1008.9,0.91,1.86,1599986940,221,0.33,10,1599978120,15.733,259.8,19.75,1599955500,29.3,1599984300,20.98,1599955440,34.89,1599984960
6,2020-09-14,Humid throughout the day.,rain,1600042740,1600087200,0.89,0.3375,1.3278,1600030620,0.4,rain,28.42,1600066800,18.75,1600127820,33.55,1600072380,19.75,1600127820,22.92,0.97,1008.1,0.94,2.19,1600072560,210,0.15,11,1600064160,16.093,259.9,19.07,1600041480,28.42,1600066800,20.17,1600041480,33.55,1600072380
7,2020-09-15,Humid throughout the day.,rain,1600129140,1600173540,0.93,0.4531,1.3995,1600171680,0.49,rain,28.58,1600157340,18.79,1600214400,33.34,1600158480,19.82,1600214340,22.6,0.97,1007.6,0.95,2.05,1600159560,219,0.19,10,1600149900,16.093,255.6,18.75,1600127820,28.58,1600157340,19.75,1600127820,33.34,1600158480
