,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-05,Partly cloudy throughout the day.,rain,1599264120,1599309480,0.6,0.1999,0.5427,1599297900,0.38,rain,25.89,1599290640,17.15,1599349920,25.9,1599291000,17.42,1599349920,17.23,0.84,1008.1,1.07,2.32,1599293580,239,0.48,9,1599285600,13.096,264.3,15.75,1599261840,25.89,1599290640,16.02,1599261840,25.9,1599291000
1,2020-09-06,Humid and partly cloudy throughout the day.,rain,1599350520,1599395760,0.64,0.4667,0.9139,1599388200,0.54,rain,25.84,1599381060,16.73,1599435960,25.95,1599381360,17.0,1599435960,17.4,0.85,1007.3,1.02,2.47,1599382140,249,0.57,9,1599373380,12.781,260.7,17.15,1599349920,25.84,1599381060,17.42,1599349920,25.95,1599381360
2,2020-09-07,Humid and mostly cloudy throughout the day.,rain,1599436980,1599482100,0.67,0.3756,0.8055,1599468720,0.57,rain,24.47,1599464340,15.92,1599522060,24.96,1599464880,16.39,1599522240,18.24,0.91,1008.0,1.16,2.58,1599468300,222,0.64,10,1599458280,12.923,259.3,16.61,1599502500,24.47,1599464340,17.0,1599435960,24.96,1599464880
3,2020-09-08,Humid and mostly cloudy throughout the day.,rain,1599523380,1599568440,0.7,0.2763,0.8969,1599556200,0.5,rain,25.43,1599550320,15.87,1599609180,25.87,1599550620,16.36,1599609240,18.81,0.95,1008.8,1.08,1.99,1599552000,213,0.76,8,1599547080,12.849,261.4,15.92,1599522060,25.43,1599550320,16.39,1599522240,25.87,1599550620
4,2020-09-09,Foggy in the morning and afternoon.,rain,1599609840,1599654780,0.73,0.2041,0.6451,1599633240,0.53,rain,23.03,1599638580,16.27,1599695820,23.42,1599638700,16.64,1599695880,18.41,0.96,1008.5,0.88,1.53,1599632880,161,0.96,6,1599631260,11.635,259.0,15.87,1599609180,23.03,1599638580,16.36,1599609240,23.42,1599638700
5,2020-09-10,Foggy in the afternoon and evening.,rain,1599696240,1599741120,0.76,0.2611,0.7475,1599738120,0.44,rain,24.2,1599722820,16.08,1599782040,24.35,1599723120,16.45,1599782160,17.95,0.92,1005.6,0.86,2.1,1599727380,228,0.85,8,1599720000,11.617,250.0,16.27,1599695820,24.2,1599722820,16.64,1599695880,24.35,1599723120
6,2020-09-11,Humid throughout the day.,rain,1599782640,1599827460,0.79,0.4659,0.9337,1599815580,0.63,rain,25.57,1599813600,16.65,1599868620,25.82,1599813840,17.11,1599868620,18.19,0.91,1006.3,0.86,2.11,1599814260,206,0.9,8,1599804540,10.833,249.7,16.08,1599782040,25.57,1599813600,16.45,1599782160,25.82,1599813840
7,2020-09-12,Humid throughout the day.,rain,1599869100,1599913740,0.82,0.4321,0.6158,1599917100,0.6,rain,26.6,1599901020,16.75,1599955020,28.09,1599901200,17.31,1599955140,19.0,0.92,1008.6,0.89,1.89,1599891900,163,0.81,8,1599896460,10.809,253.3,16.65,1599868620,26.6,1599901020,17.11,1599868620,28.09,1599901200
