,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-05,Rain overnight and in the evening.,rain,1599263760,1599309000,0.6,0.7631,2.7502,1599322500,0.67,rain,33.66,1599298080,24.15,1599349620,44.67,1599299700,25.59,1599349680,26.23,0.87,1005.4,1.82,3.73,1599297060,76,0.62,7,1599292140,16.093,267.3,25.25,1599256500,33.66,1599298080,26.64,1599256560,44.67,1599299700
1,2020-09-06,Humid and partly cloudy throughout the day.,rain,1599350160,1599395340,0.64,0.2842,2.154,1599329700,0.73,rain,31.36,1599381240,24.18,1599435780,39.88,1599380640,25.62,1599435900,25.76,0.9,1004.9,2.26,5.65,1599416100,95,0.67,10,1599372000,16.074,264.6,24.15,1599349620,31.36,1599381240,25.59,1599349680,39.88,1599380640
2,2020-09-07,"Possible light rain until night, starting again in the afternoon.",rain,1599436620,1599481680,0.67,0.1834,0.5788,1599502500,0.81,rain,32.6,1599468540,25.06,1599512760,41.06,1599475020,26.49,1599515700,25.89,0.9,1005.6,2.87,7.75,1599502500,86,0.9,7,1599459000,15.372,263.3,24.18,1599435780,32.6,1599468540,25.62,1599435900,41.06,1599475020
3,2020-09-08,"Rain until night, starting again in the afternoon.",rain,1599523020,1599568020,0.7,0.3122,0.9451,1599567480,0.9,rain,33.8,1599554400,25.13,1599608160,44.32,1599553920,26.48,1599608160,26.58,0.9,1006.1,3.39,7.87,1599506220,93,0.9,6,1599550680,15.497,266.3,25.06,1599512760,33.8,1599554400,26.49,1599515700,44.32,1599553920
4,2020-09-09,Possible light rain in the morning and afternoon.,rain,1599609480,1599654360,0.73,0.1906,0.6389,1599643980,0.78,rain,31.96,1599634380,24.47,1599694620,42.44,1599634080,26.02,1599694680,26.73,0.94,1006.0,3.4,8.96,1599621900,96,0.88,7,1599629100,15.273,263.0,25.13,1599608160,31.96,1599634380,26.48,1599608160,42.44,1599634080
5,2020-09-10,Humid and mostly cloudy throughout the day.,partly-cloudy-day,1599695880,1599740700,0.76,0.0168,0.0489,1599729120,0.33,rain,32.4,1599726540,24.48,1599780600,43.42,1599724920,26.12,1599780900,26.74,0.93,1003.4,2.66,7.48,1599761700,100,0.66,7,1599721380,16.093,255.4,24.47,1599694620,32.4,1599726540,26.02,1599694680,43.42,1599724920
6,2020-09-11,Possible light rain overnight and in the morning.,rain,1599782340,1599826980,0.79,0.1092,0.5344,1599816060,0.76,rain,33.43,1599812760,24.47,1599866040,46.09,1599810600,26.04,1599866820,27.12,0.93,1003.7,3.24,10.8,1599841020,106,0.85,7,1599803220,16.093,256.7,24.48,1599780600,33.43,1599812760,26.12,1599780900,46.09,1599810600
7,2020-09-12,Light rain until afternoon.,rain,1599868740,1599913320,0.82,0.3769,0.8921,1599876780,0.85,rain,33.52,1599899280,24.7,1599952020,46.52,1599901320,26.32,1599953400,26.96,0.9,1005.5,3.66,10.52,1599848100,87,0.77,6,1599895680,13.091,257.2,24.47,1599866040,33.52,1599899280,26.04,1599866820,46.52,1599901320
