,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-08,Possible light rain in the morning.,rain,1599523260,1599568260,0.7,0.3562,1.1327,1599502500,0.72,rain,31.32,1599552120,25.18,1599607920,38.94,1599552660,26.38,1599608220,25.03,0.87,1007.2,1.59,4.0,1599531300,84,0.75,8,1599545340,14.955,269.7,24.75,1599516000,31.32,1599552120,26.05,1599516000,38.94,1599552660
1,2020-09-09,Humid and overcast throughout the day.,rain,1599609660,1599654600,0.73,0.1345,0.3411,1599622860,0.51,rain,32.46,1599640380,25.04,1599694500,40.7,1599641100,26.21,1599694680,24.96,0.83,1006.4,1.59,4.64,1599641760,79,0.89,6,1599634260,16.093,263.5,25.18,1599607920,32.46,1599640380,26.38,1599608220,40.7,1599641100
2,2020-09-10,Possible light rain and humid throughout the day.,rain,1599696120,1599740940,0.76,0.5388,0.8262,1599727500,0.82,rain,32.77,1599722820,24.69,1599779940,41.47,1599723180,25.81,1599780540,24.8,0.82,1004.0,2.11,6.19,1599739560,97,0.95,6,1599719820,13.91,259.0,25.04,1599694500,32.77,1599722820,26.21,1599694680,41.47,1599723180
3,2020-09-11,Humid and mostly cloudy throughout the day.,rain,1599782520,1599827220,0.79,0.3027,0.7766,1599761700,0.74,rain,31.11,1599816840,24.84,1599866580,38.41,1599817980,25.93,1599867120,24.42,0.82,1004.6,2.37,5.92,1599848040,100,0.81,8,1599804840,15.546,258.1,24.69,1599779940,31.11,1599816840,25.81,1599780540,38.41,1599817980
4,2020-09-12,Humid and partly cloudy throughout the day.,rain,1599868980,1599913560,0.82,0.1225,0.3567,1599890940,0.42,rain,33.85,1599900420,24.96,1599952680,40.85,1599903840,25.97,1599953340,24.27,0.77,1006.3,2.46,5.92,1599848100,102,0.52,10,1599891720,16.093,259.6,24.84,1599866580,33.85,1599900420,25.93,1599867120,40.85,1599903840
5,2020-09-13,Possible light rain overnight.,rain,1599955380,1599999900,0.86,0.24,0.5502,1600020900,0.6,rain,33.82,1599983340,25.15,1600038600,40.61,1599981000,26.2,1600039200,23.98,0.74,1006.4,3.0,8.43,1600020840,92,0.37,11,1599976800,15.486,264.1,24.96,1599952680,33.82,1599983340,25.97,1599953340,40.61,1599981000
6,2020-09-14,Rain and humid throughout the day.,rain,1600041780,1600086240,0.89,0.5632,1.1635,1600041420,0.84,rain,32.97,1600073640,24.73,1600127520,39.53,1600073760,25.81,1600127340,23.81,0.77,1006.1,3.4,8.43,1600020900,101,0.71,8,1600066260,14.345,261.4,25.15,1600038600,32.97,1600073640,26.2,1600039200,39.53,1600073760
7,2020-09-15,Rain and humid throughout the day.,rain,1600128240,1600172580,0.93,0.4765,1.3154,1600159140,0.86,rain,30.85,1600159800,24.47,1600212900,36.0,1600161720,25.54,1600212720,23.24,0.78,1006.0,3.01,7.49,1600171500,100,0.85,7,1600149120,13.454,256.3,24.73,1600127520,30.85,1600159800,25.81,1600127340,36.0,1600161720
