,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-05,Humid and partly cloudy throughout the day.,rain,1599264240,1599309600,0.6,0.3969,0.9329,1599247980,0.51,rain,32.24,1599292980,20.2,1599350280,36.17,1599300060,20.58,1599350340,19.5,0.69,1007.9,0.99,1.98,1599295680,326,0.38,10,1599286560,14.129,266.4,18.44,1599263520,32.24,1599292980,18.77,1599263580,36.17,1599300060
1,2020-09-06,Humid throughout the day.,rain,1599350700,1599395940,0.64,0.7593,1.3123,1599385080,0.6,rain,33.2,1599384780,19.45,1599436380,37.68,1599386700,19.87,1599436440,20.09,0.7,1007.0,0.96,2.05,1599379500,312,0.53,11,1599371940,10.3,263.0,20.2,1599350280,33.2,1599384780,20.58,1599350340,37.68,1599386700
2,2020-09-07,Humid and mostly cloudy throughout the day.,rain,1599437100,1599482280,0.67,0.3765,0.703,1599490740,0.55,rain,32.96,1599465780,19.75,1599522660,37.12,1599472680,20.37,1599522780,20.73,0.74,1007.9,1.03,1.76,1599491880,11,0.61,7,1599457920,14.12,261.3,19.45,1599436380,32.96,1599465780,19.87,1599436440,37.12,1599472680
3,2020-09-08,Humid and mostly cloudy throughout the day.,rain,1599523560,1599568620,0.7,0.4005,0.9645,1599560400,0.57,rain,33.18,1599552300,19.3,1599609300,37.43,1599557340,19.94,1599609360,21.39,0.76,1008.4,1.09,2.08,1599553080,48,0.88,6,1599543720,13.223,263.3,19.75,1599522660,33.18,1599552300,20.37,1599522780,37.43,1599557340
4,2020-09-09,Possible light rain in the morning.,rain,1599609960,1599654960,0.73,0.4062,0.6898,1599612540,0.62,rain,30.71,1599634980,20.18,1599695640,32.79,1599635160,20.89,1599695700,20.86,0.78,1008.2,1.0,2.16,1599634980,138,0.99,5,1599632520,13.316,261.5,19.3,1599609300,30.71,1599634980,19.94,1599609360,32.79,1599635160
5,2020-09-10,Humid and mostly cloudy throughout the day.,rain,1599696360,1599741240,0.76,0.1251,0.3629,1599745740,0.49,rain,30.68,1599729300,20.79,1599782040,33.72,1599735000,21.53,1599782100,20.85,0.79,1005.8,0.78,1.4,1599727440,334,0.86,6,1599721140,14.809,252.4,20.18,1599695640,30.68,1599729300,20.89,1599695700,33.72,1599735000
6,2020-09-11,Humid throughout the day.,rain,1599782820,1599827580,0.79,0.5814,1.2938,1599821580,0.64,rain,31.9,1599811080,20.12,1599868200,35.01,1599813000,20.91,1599868260,21.14,0.77,1006.1,0.97,2.2,1599814560,298,0.86,7,1599804420,10.282,251.7,20.79,1599782040,31.9,1599811080,21.53,1599782100,35.01,1599813000
7,2020-09-12,Humid throughout the day.,rain,1599869220,1599913920,0.82,0.4877,0.8126,1599893220,0.62,rain,33.04,1599898380,20.61,1599954540,36.68,1599900960,21.42,1599954720,21.43,0.75,1008.3,0.98,1.89,1599903480,294,0.98,6,1599891780,10.757,255.5,20.12,1599868200,33.04,1599898380,20.91,1599868260,36.68,1599900960
