district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
Achham,Asara Ghat,28.95029444,81.44431944,2021-04-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2021-04-06 06:04:00,2021-04-06 18:41:00,0.83,0.0146,0.1063,2021-04-06 14:45:00,0.03,rain,34.22,2021-04-06 14:04:00,18.07,2021-04-07 05:52:00,33.94,2021-04-06 14:04:00,18.34,2021-04-07 05:52:00,1.74,0.23,1010.7,2.52,6.78,1617693360,0,0.31,10,1617692700,16.093,276.9,18.2,2021-04-06 06:09:00,34.22,2021-04-06 14:04:00,18.47,2021-04-06 06:09:00,33.94,2021-04-06 14:04:00,
Achham,Basti,29.03098333,81.17113333,2021-04-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2021-04-06 06:05:00,2021-04-06 18:42:00,0.83,0.0324,0.1632,2021-04-06 14:47:00,0.05,rain,35.22,2021-04-06 13:55:00,18.08,2021-04-07 05:44:00,34.94,2021-04-06 13:55:00,18.35,2021-04-07 05:44:00,4.94,0.29,1010.9,2.09,6.21,1617692700,344,0.4,10,1617692100,16.093,277.6,17.85,2021-04-06 06:10:00,35.22,2021-04-06 13:55:00,18.12,2021-04-06 06:10:00,34.94,2021-04-06 13:55:00,
Achham,Mangalsen,29.13611389,81.25009167,2021-04-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2021-04-06 06:05:00,2021-04-06 18:42:00,0.83,0.0504,0.2395,2021-04-06 14:48:00,0.06,rain,30.5,2021-04-06 13:13:00,15.47,2021-04-07 05:42:00,30.22,2021-04-06 13:13:00,15.74,2021-04-07 05:42:00,3.22,0.32,1011.5,2.22,6.68,1617692280,6,0.44,10,1617692340,16.093,277.2,15.59,2021-04-06 06:02:00,30.5,2021-04-06 13:13:00,15.86,2021-04-06 06:02:00,30.22,2021-04-06 13:13:00,
Achham,Sugali,29.17980694,81.37293889,2021-04-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2021-04-06 06:04:00,2021-04-06 18:42:00,0.83,0.0819,0.3056,2021-04-07 00:00:00,0.09,rain,26.96,2021-04-06 13:00:00,12.85,2021-04-07 05:41:00,26.68,2021-04-06 13:00:00,13.12,2021-04-07 05:41:00,2.34,0.35,1012.9,2.56,6.86,1617691260,16,0.53,10,1617692340,16.093,275.8,13.11,2021-04-06 05:58:00,26.96,2021-04-06 13:00:00,13.38,2021-04-06 05:58:00,26.68,2021-04-06 13:00:00,
Arghakhanchi,Rangsing,27.80330278,82.78400833,2021-04-06 00:00:00,Clear throughout the day.,clear-day,2021-04-06 06:00:00,2021-04-06 18:35:00,0.83,0.0012,0.0051,2021-04-06 02:45:00,0.01,rain,36.84,2021-04-06 15:39:00,22.14,2021-04-07 05:17:00,36.56,2021-04-06 15:39:00,22.41,2021-04-07 05:17:00,-1.4,0.16,1008.3,2.45,6.43,1617700560,66,0.05,11,1617688740,16.093,276.1,19.31,2021-04-06 05:25:00,36.84,2021-04-06 15:39:00,19.58,2021-04-06 05:25:00,36.56,2021-04-06 15:39:00,
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2021-04-06 00:00:00,Clear throughout the day.,clear-day,2021-04-06 05:58:00,2021-04-06 18:34:00,0.83,0.005,0.0424,2021-04-06 14:45:00,0.02,rain,31.02,2021-04-06 13:57:00,17.43,2021-04-07 04:40:00,30.74,2021-04-06 13:57:00,17.7,2021-04-07 04:40:00,-1.29,0.22,1010.4,2.27,7.04,1617701820,51,0.09,10,1617688440,16.093,274.4,15.31,2021-04-06 05:33:00,31.02,2021-04-06 13:57:00,15.58,2021-04-06 05:33:00,30.74,2021-04-06 13:57:00,
Arghakhanchi,Sidhara,27.7945,82.82838333,2021-04-06 00:00:00,Clear throughout the day.,clear-day,2021-04-06 05:59:00,2021-04-06 18:35:00,0.83,0.0011,0.0051,2021-04-06 02:45:00,0.01,rain,36.13,2021-04-06 15:35:00,22.34,2021-04-07 05:24:00,35.85,2021-04-06 15:35:00,22.61,2021-04-07 05:24:00,-1.84,0.15,1008.2,2.45,6.26,1617700560,66,0.05,11,1617688680,16.093,276.2,19.59,2021-04-06 05:32:00,36.13,2021-04-06 15:35:00,19.86,2021-04-06 05:32:00,35.85,2021-04-06 15:35:00,
Baglung,Baglung,28.26363611,83.60032222,2021-04-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2021-04-06 05:56:00,2021-04-06 18:32:00,0.83,0.0324,0.3019,2021-04-06 16:47:00,0.03,rain,28.33,2021-04-06 14:03:00,16.0,2021-04-07 00:26:00,28.05,2021-04-06 14:03:00,16.27,2021-04-07 00:26:00,0.67,0.29,1013.6,2.39,5.54,1617696120,330,0.34,9,1617688200,16.093,272.5,13.52,2021-04-06 05:42:00,28.33,2021-04-06 14:03:00,13.79,2021-04-06 05:42:00,28.05,2021-04-06 14:03:00,
Baglung,Dhorpatan,28.48333333,83.08333333,2021-04-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2021-04-06 05:58:00,2021-04-06 18:34:00,0.83,0.0693,0.4894,2021-04-06 15:57:00,0.1,rain,14.56,2021-04-06 10:55:00,6.57,2021-04-07 05:45:00,14.28,2021-04-06 10:55:00,4.85,2021-04-07 01:41:00,-3.37,0.42,1015.2,2.65,5.8,1617691560,317,0.32,10,1617688500,16.093,268.5,4.75,2021-04-06 05:49:00,14.56,2021-04-06 10:55:00,2.67,2021-04-06 05:45:00,14.28,2021-04-06 10:55:00,
Baglung,Galkot,28.21869167,83.41881111,2021-04-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2021-04-06 05:57:00,2021-04-06 18:33:00,0.83,0.0385,0.3992,2021-04-06 16:45:00,0.03,rain,27.78,2021-04-06 13:55:00,14.01,2021-04-07 03:45:00,27.5,2021-04-06 13:55:00,14.28,2021-04-07 03:45:00,0.26,0.31,1013.1,2.31,6.48,1617704820,326,0.28,9,1617686340,16.093,272.5,11.36,2021-04-06 05:42:00,27.78,2021-04-06 13:55:00,11.63,2021-04-06 05:42:00,27.5,2021-04-06 13:55:00,
