district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Asara Ghat,28.95029444,81.44431944,2020-09-15 00:00:00,Humid and overcast throughout the day.,rain,2020-09-15 06:06:00,2020-09-15 18:26:00,0.93,0.2154,0.5332,2020-09-15 00:00:00,0.55,rain,29.97,2020-09-15 13:28:00,20.69,2020-09-16 05:33:00,35.03,2020-09-15 16:42:00,21.4,2020-09-16 05:36:00,22.63,0.86,1007.1,1.08,2.01,1600159140,199,0.85,6,1600151820,16.023,261.6,20.98,2020-09-15 05:43:00,29.97,2020-09-15 13:28:00,21.71,2020-09-15 05:45:00,35.03,2020-09-15 16:42:00
Achham,Basti,29.03098333,81.17113333,2020-09-15 00:00:00,Humid and mostly cloudy throughout the day.,rain,2020-09-15 06:07:00,2020-09-15 18:27:00,0.93,0.1948,0.7449,2020-09-15 00:00:00,0.51,rain,31.71,2020-09-15 12:43:00,20.71,2020-09-16 05:37:00,38.62,2020-09-15 16:32:00,21.55,2020-09-16 05:40:00,24.19,0.9,1007.0,0.87,1.92,1600158720,196,0.79,7,1600152240,16.044,262.1,21.33,2020-09-15 05:44:00,31.71,2020-09-15 12:43:00,22.46,2020-09-15 05:45:00,38.62,2020-09-15 16:32:00
Achham,Mangalsen,29.13611389,81.25009167,2020-09-15 00:00:00,Humid and mostly cloudy throughout the day.,rain,2020-09-15 06:06:00,2020-09-15 18:27:00,0.93,0.188,0.5206,2020-09-15 17:19:00,0.51,rain,28.83,2020-09-15 12:49:00,18.63,2020-09-16 05:41:00,30.26,2020-09-15 13:14:00,19.07,2020-09-16 05:44:00,20.36,0.85,1007.3,0.92,1.92,1600156740,197,0.79,7,1600152180,15.581,261.5,18.88,2020-09-15 05:46:00,28.83,2020-09-15 12:49:00,19.46,2020-09-15 05:49:00,30.26,2020-09-15 13:14:00
Achham,Sugali,29.17980694,81.37293889,2020-09-15 00:00:00,Humid and mostly cloudy throughout the day.,rain,2020-09-15 06:06:00,2020-09-15 18:26:00,0.93,0.1748,0.4588,2020-09-15 20:39:00,0.5,rain,26.73,2020-09-15 13:10:00,16.79,2020-09-16 05:39:00,27.51,2020-09-15 13:41:00,17.1,2020-09-16 05:42:00,18.17,0.84,1007.5,1.06,2.19,1600153920,206,0.82,7,1600151520,15.8,260.3,16.82,2020-09-15 05:46:00,26.73,2020-09-15 13:10:00,17.09,2020-09-15 05:46:00,27.51,2020-09-15 13:41:00
Arghakhanchi,Rangsing,27.80330278,82.78400833,2020-09-15 00:00:00,Humid and overcast throughout the day.,rain,2020-09-15 06:01:00,2020-09-15 18:20:00,0.93,0.2271,0.747,2020-09-15 17:11:00,0.59,rain,32.56,2020-09-15 12:46:00,23.32,2020-09-16 05:21:00,38.83,2020-09-15 13:16:00,24.31,2020-09-16 05:28:00,24.0,0.82,1005.3,1.39,3.95,1600118820,90,0.91,7,1600150680,16.093,260.1,23.85,2020-09-15 05:05:00,32.56,2020-09-15 12:46:00,24.98,2020-09-15 05:13:00,38.83,2020-09-15 13:16:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-09-15 00:00:00,Humid and mostly cloudy throughout the day.,rain,2020-09-15 05:59:00,2020-09-15 18:19:00,0.93,0.2245,0.6378,2020-09-15 15:19:00,0.57,rain,27.78,2020-09-15 13:30:00,19.29,2020-09-16 05:33:00,29.63,2020-09-15 13:40:00,19.7,2020-09-16 05:36:00,20.17,0.87,1006.5,0.98,1.59,1600139040,48,0.88,7,1600150020,16.093,258.7,18.99,2020-09-15 05:36:00,27.78,2020-09-15 13:30:00,19.67,2020-09-15 05:37:00,29.63,2020-09-15 13:40:00
Arghakhanchi,Sidhara,27.7945,82.82838333,2020-09-15 00:00:00,Humid and overcast throughout the day.,rain,2020-09-15 06:00:00,2020-09-15 18:20:00,0.93,0.2285,0.7002,2020-09-15 17:05:00,0.62,rain,32.01,2020-09-15 12:42:00,23.22,2020-09-16 05:30:00,36.95,2020-09-15 13:04:00,24.15,2020-09-16 05:36:00,23.31,0.81,1005.3,1.42,3.94,1600133220,90,0.91,7,1600150740,16.093,260.1,23.65,2020-09-15 05:16:00,32.01,2020-09-15 12:42:00,24.71,2020-09-15 05:22:00,36.95,2020-09-15 13:04:00
Baglung,Baglung,28.26363611,83.60032222,2020-09-15 00:00:00,Mostly cloudy throughout the day.,rain,2020-09-15 05:57:00,2020-09-15 18:17:00,0.93,0.2034,0.5927,2020-09-15 15:04:00,0.56,rain,26.46,2020-09-15 13:45:00,17.8,2020-09-16 05:40:00,27.63,2020-09-15 13:46:00,18.07,2020-09-16 05:40:00,17.5,0.82,1008.0,0.96,1.83,1600193700,350,0.83,8,1600149480,14.64,257.5,16.76,2020-09-15 05:38:00,26.46,2020-09-15 13:45:00,17.09,2020-09-15 05:38:00,27.63,2020-09-15 13:46:00
Baglung,Dhorpatan,28.48333333,83.08333333,2020-09-15 00:00:00,Mostly cloudy throughout the day.,rain,2020-09-15 05:59:00,2020-09-15 18:19:00,0.93,0.1599,0.4032,2020-09-15 00:00:00,0.56,rain,16.98,2020-09-15 12:15:00,8.93,2020-09-16 05:40:00,17.6,2020-09-15 12:26:00,8.76,2020-09-16 05:39:00,12.08,1.0,1008.0,1.19,2.64,1600152000,1,0.89,8,1600149960,15.576,254.5,8.71,2020-09-15 05:45:00,16.98,2020-09-15 12:15:00,9.25,2020-09-15 05:44:00,17.6,2020-09-15 12:26:00
Baglung,Galkot,28.21869167,83.41881111,2020-09-15 00:00:00,Humid and mostly cloudy throughout the day.,rain,2020-09-15 05:58:00,2020-09-15 18:18:00,0.93,0.1875,0.5707,2020-09-15 15:18:00,0.56,rain,26.1,2020-09-15 14:06:00,15.75,2020-09-16 05:48:00,26.55,2020-09-15 14:11:00,16.02,2020-09-16 05:48:00,17.87,0.89,1007.8,0.98,1.77,1600150560,345,0.85,8,1600149600,15.256,257.5,14.62,2020-09-15 05:44:00,26.1,2020-09-15 14:06:00,14.89,2020-09-15 05:44:00,26.55,2020-09-15 14:11:00
Baglung,Rangkhani,28.14408889,83.55824444,2020-09-15 00:00:00,Mostly cloudy throughout the day.,rain,2020-09-15 05:57:00,2020-09-15 18:17:00,0.93,0.2053,0.6173,2020-09-15 15:16:00,0.57,rain,23.91,2020-09-15 13:08:00,15.99,2020-09-16 05:45:00,23.99,2020-09-15 13:15:00,16.26,2020-09-16 05:45:00,16.92,0.9,1007.5,0.89,1.7,1600150200,355,0.84,8,1600149600,15.409,258.0,15.0,2020-09-15 05:40:00,23.91,2020-09-15 13:08:00,15.44,2020-09-15 05:41:00,23.99,2020-09-15 13:15:00
Baitadi,Patan (West),29.467137,80.54575109999999,2020-09-15 00:00:00,Humid and partly cloudy throughout the day.,rain,2020-09-15 06:09:00,2020-09-15 18:30:00,0.93,0.2847,0.7795,2020-09-15 02:34:00,0.57,rain,28.01,2020-09-15 13:46:00,17.91,2020-09-16 06:22:00,30.97,2020-09-15 13:53:00,18.84,2020-09-16 06:16:00,21.53,0.96,1007.5,0.78,2.06,1600169040,248,0.47,10,1600149960,15.449,261.5,18.64,2020-09-15 05:32:00,28.01,2020-09-15 13:46:00,19.68,2020-09-15 05:30:00,30.97,2020-09-15 13:53:00
