district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Asara Ghat,28.95029444,81.44431944,2020-09-22 00:00:00,Rain overnight.,rain,2020-09-22 06:09:00,2020-09-22 18:17:00,0.2,0.3223,1.3124,2020-09-22 23:36:00,0.51,rain,32.34,2020-09-22 13:47:00,21.11,2020-09-23 06:01:00,38.84,2020-09-22 16:18:00,22.31,2020-09-23 06:06:00,22.62,0.84,1005.7,1.12,2.28,1600733100,243,0.71,6,1600756140,14.641,260.6,21.44,2020-09-22 04:52:00,32.34,2020-09-22 13:47:00,22.26,2020-09-22 04:50:00,38.84,2020-09-22 16:18:00
Achham,Basti,29.03098333,81.17113333,2020-09-22 00:00:00,Rain overnight and in the morning.,rain,2020-09-22 06:10:00,2020-09-22 18:18:00,0.2,0.5987,2.1463,2020-09-22 23:36:00,0.62,rain,33.43,2020-09-22 14:28:00,21.76,2020-09-23 06:06:00,42.96,2020-09-22 16:20:00,23.13,2020-09-23 06:17:00,23.95,0.88,1005.7,0.96,2.23,1600735200,256,0.69,5,1600759080,13.504,261.2,22.15,2020-09-22 07:00:00,33.43,2020-09-22 14:28:00,23.16,2020-09-22 07:15:00,42.96,2020-09-22 16:20:00
Achham,Mangalsen,29.13611389,81.25009167,2020-09-22 00:00:00,Rain overnight.,rain,2020-09-22 06:10:00,2020-09-22 18:18:00,0.2,0.3544,1.6305,2020-09-22 23:38:00,0.48,rain,29.33,2020-09-22 14:18:00,18.61,2020-09-23 05:53:00,31.79,2020-09-22 14:43:00,19.6,2020-09-23 05:59:00,20.7,0.89,1006.0,1.03,2.01,1600766160,299,0.59,6,1600760460,15.804,260.7,18.71,2020-09-22 04:55:00,29.33,2020-09-22 14:18:00,19.56,2020-09-22 04:51:00,31.79,2020-09-22 14:43:00
Achham,Sugali,29.17980694,81.37293889,2020-09-22 00:00:00,Humid and mostly cloudy throughout the day.,partly-cloudy-day,2020-09-22 06:09:00,2020-09-22 18:18:00,0.2,0.2056,1.0134,2020-09-22 23:39:00,0.36,rain,27.56,2020-09-22 14:29:00,16.73,2020-09-23 05:44:00,29.38,2020-09-22 14:34:00,17.63,2020-09-23 05:45:00,19.54,0.93,1006.3,1.14,2.26,1600765020,352,0.56,7,1600760040,16.093,259.5,16.17,2020-09-22 05:00:00,27.56,2020-09-22 14:29:00,16.95,2020-09-22 04:55:00,29.38,2020-09-22 14:34:00
Arghakhanchi,Rangsing,27.80330278,82.78400833,2020-09-22 00:00:00,Humid and overcast throughout the day.,rain,2020-09-22 06:04:00,2020-09-22 18:12:00,0.2,0.0527,0.2364,2020-09-22 15:46:00,0.38,rain,32.23,2020-09-22 12:14:00,22.96,2020-09-23 06:13:00,36.97,2020-09-22 12:15:00,23.88,2020-09-23 06:09:00,22.26,0.73,1003.6,1.84,5.71,1600744200,90,0.97,6,1600755420,15.969,256.6,24.18,2020-09-22 04:13:00,32.23,2020-09-22 12:14:00,25.02,2020-09-22 04:04:00,36.97,2020-09-22 12:15:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-09-22 00:00:00,Overcast throughout the day.,rain,2020-09-22 06:02:00,2020-09-22 18:10:00,0.2,0.1252,0.4836,2020-09-22 15:33:00,0.41,rain,27.82,2020-09-22 13:04:00,18.68,2020-09-23 01:40:00,28.58,2020-09-22 13:16:00,19.4,2020-09-23 01:48:00,18.09,0.76,1004.9,1.07,2.09,1600765440,70,0.98,5,1600755780,15.0,255.5,19.04,2020-09-23 00:00:00,27.82,2020-09-22 13:04:00,19.85,2020-09-23 00:00:00,28.58,2020-09-22 13:16:00
Arghakhanchi,Sidhara,27.7945,82.82838333,2020-09-22 00:00:00,Humid and overcast throughout the day.,rain,2020-09-22 06:04:00,2020-09-22 18:12:00,0.2,0.0479,0.2246,2020-09-22 15:24:00,0.38,rain,31.51,2020-09-22 12:05:00,22.57,2020-09-23 06:01:00,35.48,2020-09-22 12:09:00,23.5,2020-09-23 06:03:00,21.85,0.74,1003.6,1.87,5.68,1600744140,90,0.97,6,1600755420,16.011,256.5,23.86,2020-09-22 04:05:00,31.51,2020-09-22 12:05:00,24.69,2020-09-22 03:53:00,35.48,2020-09-22 12:09:00
Baglung,Baglung,28.26363611,83.60032222,2020-09-22 00:00:00,Overcast throughout the day.,rain,2020-09-22 06:00:00,2020-09-22 18:09:00,0.2,0.2536,0.7727,2020-09-22 20:55:00,0.43,rain,25.66,2020-09-22 12:01:00,17.26,2020-09-23 00:51:00,25.63,2020-09-22 12:05:00,17.95,2020-09-23 01:05:00,17.48,0.83,1006.6,0.93,1.69,1600733220,321,0.99,5,1600755780,15.649,255.1,17.35,2020-09-23 00:00:00,25.66,2020-09-22 12:01:00,17.97,2020-09-22 04:58:00,25.63,2020-09-22 12:05:00
Baglung,Dhorpatan,28.48333333,83.08333333,2020-09-22 00:00:00,Foggy in the morning.,rain,2020-09-22 06:03:00,2020-09-22 18:11:00,0.2,0.3426,1.1801,2020-09-23 00:00:00,0.51,rain,15.45,2020-09-22 11:50:00,9.85,2020-09-23 08:00:00,17.86,2020-09-22 12:06:00,12.43,2020-09-23 05:53:00,11.83,1.0,1006.8,1.22,2.2,1600755900,34,0.92,7,1600753860,11.225,253.1,8.78,2020-09-22 04:56:00,15.45,2020-09-22 11:50:00,8.21,2020-09-22 05:10:00,17.86,2020-09-22 12:06:00
Baglung,Galkot,28.21869167,83.41881111,2020-09-22 00:00:00,Overcast throughout the day.,rain,2020-09-22 06:01:00,2020-09-22 18:09:00,0.2,0.2402,0.5798,2020-09-22 21:04:00,0.4,rain,24.38,2020-09-22 11:46:00,15.06,2020-09-23 06:09:00,24.3,2020-09-22 11:49:00,15.83,2020-09-23 06:12:00,16.84,0.88,1006.5,0.98,1.63,1600733700,339,0.99,5,1600756020,15.917,255.0,15.59,2020-09-22 05:40:00,24.38,2020-09-22 11:46:00,15.86,2020-09-22 05:40:00,24.3,2020-09-22 11:49:00
Baglung,Rangkhani,28.14408889,83.55824444,2020-09-22 00:00:00,Overcast throughout the day.,rain,2020-09-22 06:01:00,2020-09-22 18:09:00,0.2,0.2287,0.7083,2020-09-22 20:45:00,0.44,rain,23.33,2020-09-22 12:02:00,14.74,2020-09-23 00:24:00,23.19,2020-09-22 12:11:00,15.79,2020-09-23 01:01:00,16.43,0.9,1006.1,0.91,1.58,1600733760,327,0.98,6,1600756620,15.721,255.2,14.76,2020-09-23 00:00:00,23.33,2020-09-22 12:02:00,15.88,2020-09-23 00:00:00,23.19,2020-09-22 12:11:00
Baitadi,Patan (West),29.467137,80.54575109999999,2020-09-22 00:00:00,Humid throughout the day.,rain,2020-09-22 06:13:00,2020-09-22 18:21:00,0.2,0.1772,0.8138,2020-09-23 00:00:00,0.42,rain,29.09,2020-09-22 14:35:00,17.75,2020-09-23 05:43:00,32.23,2020-09-22 14:47:00,18.9,2020-09-23 05:45:00,21.25,0.94,1006.3,0.9,3.0,1600765560,207,0.26,8,1600758480,15.764,260.8,17.92,2020-09-22 05:32:00,29.09,2020-09-22 14:35:00,19.32,2020-09-22 05:01:00,32.23,2020-09-22 14:47:00
Baitadi,Satbanjh,29.4973,80.49741194,2020-09-22 00:00:00,Humid throughout the day.,rain,2020-09-22 06:13:00,2020-09-22 18:21:00,0.2,0.1576,0.7944,2020-09-23 00:00:00,0.4,rain,25.36,2020-09-22 14:41:00,15.1,2020-09-23 05:42:00,25.8,2020-09-22 14:44:00,16.63,2020-09-23 05:44:00,18.6,0.98,1006.3,0.93,3.0,1600765620,197,0.21,9,1600757640,15.897,261.0,15.23,2020-09-22 05:41:00,25.36,2020-09-22 14:41:00,17.07,2020-09-22 05:35:00,25.8,2020-09-22 14:44:00
