,district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
230,okhaldhunga,okhaldhunga,27.30812083,86.504225,1599329700,Humid and overcast throughout the day.,rain,1599350220,1599395400,0.64,0.3912,1.0015,1599385860,0.59,rain,24.51,1599372180,17.34,1599436620,25.67,1599372480,18.6,1599436620,20.05,1.0,1006.8,0.8,2.13,1599377880,209,0.93,7,1599373380,13.833,259.7,17.45,1599349020,24.51,1599372180,18.87,1599348720,25.67,1599372480
231,doti,gaira,29.34106083,81.045105,1599329700,Humid throughout the day.,rain,1599351480,1599396840,0.64,0.2319,0.8518,1599385980,0.41,rain,23.29,1599375780,14.31,1599436500,23.58,1599376200,14.7,1599436380,17.39,0.98,1007.2,0.88,2.03,1599377820,131,0.17,12,1599372540,14.807,261.9,13.69,1599349200,23.29,1599375780,14.42,1599349140,23.58,1599376200
232,okhaldhunga,tansen,27.21472694,86.44435778,1599329700,Humid and mostly cloudy throughout the day.,rain,1599350220,1599395460,0.64,0.4114,1.1084,1599384480,0.62,rain,25.54,1599372060,19.01,1599436800,26.62,1599372240,20.35,1599436800,21.29,1.0,1006.6,0.82,2.3,1599377760,200,0.9,7,1599373200,14.714,260.8,19.2,1599334320,25.54,1599372060,20.61,1599334740,26.62,1599372240
233,doti,dumrakot,29.16385278,80.600738,1599329700,Humid throughout the day.,rain,1599351540,1599396900,0.64,0.2208,1.172,1599416100,0.42,rain,24.65,1599375120,16.57,1599438540,25.34,1599375780,17.85,1599438600,19.54,0.99,1006.2,0.98,2.32,1599384180,159,0.16,11,1599372600,16.093,262.9,16.29,1599349560,24.65,1599375120,17.46,1599349320,25.34,1599375780
234,palpa,baldyanggadi,27.86366111,83.53871111,1599329700,Humid and partly cloudy throughout the day.,rain,1599350940,1599396180,0.64,0.2251,0.7412,1599384060,0.47,rain,28.38,1599379020,18.84,1599436380,30.5,1599379260,19.38,1599436440,20.59,0.89,1006.0,1.05,1.98,1599381840,46,0.52,9,1599373140,15.562,263.4,18.9,1599348900,28.38,1599379020,19.79,1599349020,30.5,1599379260
235,okhaldhunga,okhaldhunga,27.30812083,86.504225,1599329700,Humid and overcast throughout the day.,rain,1599350220,1599395400,0.64,0.3912,1.0015,1599385860,0.59,rain,24.51,1599372180,17.34,1599436620,25.67,1599372480,18.6,1599436620,20.05,1.0,1006.8,0.8,2.13,1599377880,209,0.93,7,1599373380,13.833,259.7,17.45,1599349020,24.51,1599372180,18.87,1599348720,25.67,1599372480
236,gorkha,gorkha,28.66666667,84.61666667,1599321600,Partly cloudy throughout the day.,partly-cloudy-day,1599350640,1599395940,0.63,0.0083,0.0399,1599382980,0.12,rain,7.68,1599377340,0.41,1599436800,6.27,1599376860,0.68,1599436800,3.25,1.0,1008.8,1.16,3.07,1599380520,242,0.45,14,1599372000,16.093,253.0,-0.66,1599348300,7.68,1599377340,-0.39,1599348300,6.27,1599376860
237,gorkha,chhekampar,27.97138889,84.58944444,1599329700,Humid throughout the day.,rain,1599350640,1599395940,0.64,0.3394,1.0902,1599392640,0.43,rain,32.6,1599380580,20.6,1599436080,36.56,1599385680,21.34,1599436080,20.85,0.73,1006.8,0.84,2.01,1599382620,267,0.33,11,1599373320,14.959,264.0,21.36,1599349740,32.6,1599380580,21.99,1599349680,36.56,1599385680
238,palpa,jalpa,27.86541111,83.95603056,1599329700,Humid and partly cloudy throughout the day.,rain,1599350820,1599396060,0.64,0.3386,0.8818,1599387180,0.56,rain,34.01,1599376500,21.55,1599435660,38.75,1599385740,22.5,1599435660,22.94,0.78,1006.3,0.96,2.33,1599382800,15,0.46,9,1599373500,15.25,264.1,21.49,1599349020,34.01,1599376500,22.51,1599349200,38.75,1599385740
239,gorkha,sama gaun,28.42693611,84.90264444,1599321600,Partly cloudy throughout the day.,partly-cloudy-day,1599350580,1599395880,0.63,0.0348,0.1195,1599381960,0.18,rain,15.55,1599375540,8.62,1599415080,19.25,1599376020,11.26,1599421980,10.93,1.0,1008.6,1.19,2.79,1599377220,20,0.57,11,1599371580,15.03,255.2,7.44,1599347880,15.55,1599375540,10.21,1599347580,19.25,1599376020
240,gorkha,chumchet,28.48333333,85.0,1599321600,Foggy overnight.,fog,1599350520,1599395820,0.63,0.0159,0.0676,1599381660,0.13,rain,12.0,1599372960,5.24,1599421740,16.2,1599377640,6.16,1599392700,7.04,1.0,1008.4,1.15,2.96,1599378960,47,0.51,13,1599371640,14.529,254.4,2.87,1599347760,12.0,1599372960,2.79,1599348300,16.2,1599377640
241,gorkha,barpak,28.2,84.73333333,1599321600,Humid throughout the day.,fog,1599350580,1599395880,0.63,0.1609,0.4849,1599383340,0.35,rain,24.12,1599379620,16.31,1599436440,26.04,1599379800,17.47,1599435840,19.01,1.0,1007.6,1.32,2.03,1599379500,354,0.56,10,1599371880,11.579,259.9,15.07,1599348540,24.12,1599379620,16.28,1599348240,26.04,1599379800
242,palpa,archale,27.808107300000003,83.31313890000001,1599329700,Humid and partly cloudy throughout the day.,rain,1599350940,1599396240,0.64,0.2532,0.8509,1599383880,0.54,rain,27.63,1599379440,18.57,1599436500,29.47,1599380040,19.05,1599436680,20.41,0.91,1005.6,1.22,2.22,1599381840,41,0.34,11,1599372420,14.28,263.7,18.5,1599349380,27.63,1599379440,19.36,1599349620,29.47,1599380040
243,palpa,chamehat,27.80605556,83.72636111,1599329700,Mostly cloudy throughout the day.,rain,1599350880,1599396120,0.64,0.2667,0.7468,1599383700,0.51,rain,28.52,1599379080,18.58,1599436560,29.96,1599379200,19.29,1599436680,20.26,0.87,1005.9,0.99,2.29,1599382800,52,0.51,8,1599375180,16.093,263.7,18.98,1599349800,28.52,1599379080,20.02,1599350040,29.96,1599379200
244,gulmi,musikot,27.93856667,83.44315278,1599329700,Humid and partly cloudy throughout the day.,rain,1599350940,1599396180,0.64,0.2465,0.781,1599384720,0.44,rain,32.58,1599379560,19.57,1599436080,41.16,1599386220,20.12,1599436140,23.22,0.86,1006.3,1.02,1.85,1599381780,36,0.51,9,1599372600,15.626,263.0,19.64,1599348480,32.58,1599379560,20.47,1599348540,41.16,1599386220
245,gorkha,laprak,28.2,84.75,1599321600,Foggy in the afternoon and evening.,fog,1599350580,1599395880,0.63,0.1578,0.4744,1599383220,0.35,rain,22.17,1599380340,14.31,1599436800,24.3,1599381240,15.43,1599436440,17.31,1.0,1007.5,1.33,2.06,1599378960,354,0.57,10,1599371880,11.567,259.8,13.34,1599349440,22.17,1599380340,14.56,1599349020,24.3,1599381240
246,panchther,dedhgauntar,27.26666667,87.71666667,1599329700,Humid and overcast throughout the day.,rain,1599349920,1599395160,0.64,0.3184,0.6519,1599383580,0.62,rain,25.78,1599375720,17.24,1599436920,26.84,1599374760,18.44,1599436920,21.73,1.0,1007.1,0.74,1.73,1599381420,202,0.89,6,1599376980,13.395,259.3,17.23,1599350100,25.78,1599375720,18.45,1599350040,26.84,1599374760
247,gulmi,tamghas,28.16998056,83.26802778,1599329700,Humid and partly cloudy throughout the day.,rain,1599350940,1599396240,0.64,0.2923,0.8107,1599383820,0.4,rain,27.26,1599382380,15.5,1599436020,31.26,1599382440,15.9,1599435960,20.02,0.98,1007.2,1.06,1.66,1599377640,27,0.41,10,1599372420,15.303,261.4,14.55,1599348780,27.26,1599382380,15.17,1599348660,31.26,1599382440
248,panchther,angbung,27.68333333,87.81666667,1599329700,Foggy starting in the morning.,rain,1599349920,1599395100,0.64,0.2047,0.4404,1599333480,0.49,rain,11.93,1599372240,6.13,1599436680,15.23,1599377700,8.33,1599434100,8.64,1.0,1008.5,1.25,3.09,1599373500,84,0.97,7,1599373020,6.884,252.6,6.41,1599348840,11.93,1599372240,8.54,1599389100,15.23,1599377700
