,district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
271,kabhre,dhulikhel,27.63882194,85.70498083,1599329700,Humid and partly cloudy throughout the day.,rain,1599350400,1599395640,0.64,0.3934,1.0344,1599401820,0.5,rain,30.53,1599378180,19.79,1599436740,40.52,1599386220,20.92,1599436740,23.42,0.94,1006.9,0.79,1.94,1599381840,178,0.59,10,1599372600,14.886,261.0,18.3,1599349920,30.53,1599378180,19.28,1599349920,40.52,1599386220
272,jhapa,anarmani birta,26.6706658,87.7004293,1599329700,Possible light rain and humid throughout the day.,rain,1599349980,1599395100,0.64,0.7292,4.7369,1599329700,0.94,rain,30.48,1599380040,23.23,1599436320,40.38,1599385800,24.49,1599436260,25.75,0.94,1006.1,1.84,3.91,1599407700,91,0.99,5,1599373080,14.984,262.9,23.78,1599350160,30.48,1599380040,25.21,1599349980,40.38,1599385800
273,parbat,tribeni,28.1772667,83.7485405,1599329700,Humid and mostly cloudy throughout the day.,rain,1599350820,1599396120,0.64,0.3148,0.9283,1599387000,0.45,rain,26.39,1599378780,17.24,1599436140,27.87,1599379140,17.71,1599436020,19.83,0.96,1007.1,0.92,1.68,1599345420,70,0.66,7,1599376200,14.036,262.6,16.76,1599348840,26.39,1599378780,17.7,1599348900,27.87,1599379140
274,jumla,tatopani,29.316667,82.283333,1599329700,Clear throughout the day.,clear-day,1599351180,1599396540,0.64,0.1909,0.7294,1599386940,0.36,rain,17.93,1599373200,6.42,1599436320,18.58,1599374700,7.57,1599435960,10.64,1.0,1008.8,1.2,2.56,1599381420,75,0.25,13,1599372300,14.329,255.7,3.97,1599348180,17.93,1599373200,4.35,1599347220,18.58,1599374700
275,jumla,jumla,29.26385556,82.22301111,1599329700,Clear throughout the day.,rain,1599351180,1599396540,0.64,0.2156,0.8099,1599386520,0.38,rain,20.83,1599373680,9.23,1599436200,21.37,1599375360,10.2,1599435960,13.43,1.0,1008.6,1.11,2.54,1599382380,70,0.21,12,1599372300,14.069,256.2,6.58,1599348480,20.83,1599373680,7.29,1599348300,21.37,1599375360
276,i lam,ilam tea estate,27.06666667,88.0,1599329700,Foggy starting in the morning.,rain,1599349860,1599395040,0.64,0.2755,0.6584,1599373800,0.63,rain,20.19,1599375960,13.68,1599436500,21.86,1599375960,15.45,1599436260,16.42,1.0,1007.3,0.65,1.62,1599375720,191,0.98,6,1599372900,11.308,258.2,14.12,1599415440,20.19,1599375960,16.05,1599416100,21.86,1599375960
277,kabhre,panchkhal,27.63333333,85.51666667,1599329700,Humid and partly cloudy throughout the day.,rain,1599350460,1599395700,0.64,0.4482,1.0851,1599403680,0.49,rain,27.13,1599376440,17.56,1599436560,30.49,1599376560,18.5,1599436560,21.34,0.98,1006.8,0.78,2.05,1599382380,197,0.58,10,1599371940,14.212,261.1,17.26,1599349380,27.13,1599376440,18.28,1599349260,30.49,1599376560
278,kabhre,budal (banepa),27.61611667,85.56550278,1599329700,Humid and partly cloudy throughout the day.,rain,1599350460,1599395640,0.64,0.4412,1.0707,1599403380,0.49,rain,27.01,1599376740,17.64,1599436560,30.22,1599376740,18.65,1599436620,21.22,0.98,1006.8,0.79,2.05,1599381780,196,0.59,9,1599372060,14.607,261.0,17.22,1599349320,27.01,1599376740,18.26,1599349200,30.22,1599376740
279,morang,haraincha,28.46717,84.37307390000001,1599329700,Foggy in the afternoon and evening.,fog,1599350700,1599396000,0.64,0.0397,0.1324,1599387420,0.2,rain,14.98,1599374580,8.8,1599415380,19.04,1599375660,9.0,1599423180,10.74,1.0,1008.7,1.52,2.47,1599372480,348,0.54,11,1599371520,12.856,255.8,7.54,1599348060,14.98,1599374580,7.18,1599348120,19.04,1599375660
280,kailali,dhangadhi,28.68333333,80.6,1599329700,Humid throughout the day.,rain,1599351600,1599396900,0.64,0.1516,1.05,1599329700,0.58,rain,32.46,1599381300,24.52,1599433200,41.71,1599385380,25.71,1599433140,24.99,0.84,1004.6,1.53,3.1,1599382800,118,0.07,11,1599373200,16.093,266.2,24.63,1599343500,32.46,1599381300,25.82,1599343620,41.71,1599385380
281,kabhre,dolal ghat,27.69382389,85.635637,1599329700,Humid and partly cloudy throughout the day.,rain,1599350400,1599395640,0.64,0.3925,1.0345,1599402540,0.48,rain,29.02,1599376020,18.16,1599436680,33.27,1599377460,18.94,1599436680,21.89,0.94,1007.0,0.73,1.9,1599382200,172,0.55,10,1599372540,13.984,261.1,17.0,1599350040,29.02,1599376020,17.7,1599350040,33.27,1599377460
282,kalikot,manma,29.2495,81.63913889,1599329700,Humid throughout the day.,clear-day,1599351300,1599396660,0.64,0.1125,0.4164,1599385740,0.31,rain,26.44,1599376020,14.93,1599436320,27.99,1599376320,15.75,1599436140,18.51,0.96,1007.9,1.37,3.19,1599376380,6,0.29,12,1599372360,15.568,259.4,12.86,1599348180,26.44,1599376020,13.55,1599348180,27.99,1599376320
283,kailali,sitapur,28.66417611,80.97850889,1599329700,Humid throughout the day.,rain,1599351480,1599396780,0.64,0.2293,0.6139,1599393420,0.57,rain,33.18,1599377160,24.41,1599436380,44.07,1599384540,25.72,1599436200,26.01,0.87,1005.0,1.42,2.77,1599382380,107,0.12,11,1599372540,16.093,265.6,24.48,1599349500,33.18,1599377160,25.78,1599349320,44.07,1599384540
284,kailali,malakheti,28.83333333,80.56666667,1599329700,Humid throughout the day.,rain,1599351600,1599396900,0.64,0.1582,0.9407,1599329700,0.56,rain,32.86,1599379620,24.54,1599433560,45.16,1599386700,25.8,1599433440,26.06,0.88,1005.1,1.43,2.67,1599382860,138,0.1,11,1599372900,16.093,265.5,24.4,1599348540,32.86,1599379620,25.6,1599348060,45.16,1599386700
285,kalikot,nagma,29.12995833,81.58836111,1599329700,Humid throughout the day.,clear-day,1599351360,1599396660,0.64,0.1646,0.5253,1599387060,0.37,rain,28.96,1599375120,18.36,1599436620,32.4,1599376440,19.34,1599436500,20.69,0.92,1007.4,1.29,2.71,1599375900,161,0.28,11,1599372300,15.114,260.5,17.0,1599348960,28.96,1599375120,17.68,1599349140,32.4,1599376440
286,ilam,kanyam tea estate,26.8,87.9,1599329700,Rain and humid throughout the day.,rain,1599349920,1599395100,0.64,0.658,2.6897,1599335160,0.88,rain,29.67,1599380100,22.14,1599436320,40.03,1599385800,23.43,1599436260,25.55,0.99,1006.5,1.3,3.1,1599371820,103,0.99,5,1599372960,13.97,261.9,22.6,1599351780,29.67,1599380100,24.15,1599351720,40.03,1599385800
287,kalikot,mahendra nagar,29.09644444,81.70052778,1599329700,Humid throughout the day.,clear-day,1599351300,1599396660,0.64,0.1607,0.5525,1599384840,0.33,rain,26.7,1599373620,16.75,1599436680,28.57,1599374460,17.82,1599436620,19.74,0.96,1007.4,1.29,2.75,1599374340,241,0.26,12,1599372360,14.516,259.8,15.53,1599348780,26.7,1599373620,16.18,1599348840,28.57,1599374460
288,kanchanpur,taulihawa,28.89702,80.36996389,1599329700,Possible light rain overnight.,rain,1599351660,1599396960,0.64,0.1338,0.8025,1599416100,0.54,rain,32.85,1599381960,24.23,1599433620,44.6,1599387000,25.45,1599433500,25.82,0.87,1005.0,1.45,2.45,1599404700,133,0.09,11,1599373200,16.093,265.7,24.37,1599344700,32.85,1599381960,25.54,1599344880,44.6,1599387000
289,kanchanpur,hanmannagar,28.698575,80.37540389,1599329700,Humid throughout the day.,rain,1599351660,1599396960,0.64,0.1415,1.4174,1599329700,0.61,rain,31.33,1599382800,24.38,1599433020,38.4,1599385080,25.53,1599432960,24.43,0.84,1004.5,1.49,3.04,1599383160,123,0.09,11,1599373260,16.093,266.4,24.42,1599343140,31.33,1599382800,25.58,1599343140,38.4,1599385080
290,kanchanpur,dodhara,28.86185889,80.44044194,1599329700,Humid throughout the day.,rain,1599351600,1599396960,0.64,0.1448,1.004,1599329700,0.57,rain,32.41,1599381900,24.5,1599434760,43.57,1599388920,25.73,1599434640,25.81,0.87,1005.0,1.46,2.58,1599404340,139,0.09,11,1599373020,16.093,265.6,24.46,1599349320,32.41,1599381900,25.65,1599349080,43.57,1599388920
291,kapilbastu,banganga,27.669936100000005,82.7911917,1599329700,Humid throughout the day.,rain,1599351120,1599396360,0.64,0.2647,0.9217,1599329700,0.67,rain,33.23,1599382740,23.83,1599435900,41.57,1599385200,24.89,1599435960,24.33,0.8,1004.6,1.4,3.51,1599381900,13,0.18,10,1599372840,16.093,265.1,23.86,1599348540,33.23,1599382740,24.97,1599348600,41.57,1599385200
292,kailali,godavari(west),28.554054999999998,80.831765,1599329700,Humid throughout the day.,rain,1599351540,1599396840,0.64,0.2052,0.797,1599339780,0.61,rain,31.94,1599380100,24.46,1599434280,40.92,1599385140,25.63,1599434040,24.87,0.84,1004.5,1.68,3.16,1599405360,105,0.11,11,1599372600,16.093,266.0,24.53,1599343320,31.94,1599380100,25.73,1599343320,40.92,1599385140
293,kailali,teghari,28.87623,80.57918889,1599329700,Humid throughout the day.,rain,1599351600,1599396900,0.64,0.1653,0.6922,1599329700,0.53,rain,32.21,1599377700,23.9,1599433800,44.48,1599386460,25.17,1599433500,25.95,0.9,1005.3,1.38,2.45,1599382800,138,0.11,11,1599372840,16.093,265.1,23.49,1599348540,32.21,1599377700,24.67,1599348120,44.48,1599386460
294,bara,gulariya,27.164166700000003,84.98,1599329700,Rain in the evening.,rain,1599350580,1599395760,0.64,0.2758,1.0316,1599393300,0.65,rain,32.41,1599379800,24.16,1599434760,42.43,1599380220,25.43,1599434580,25.84,0.87,1005.0,2.09,3.6,1599380340,96,0.48,9,1599373200,16.093,264.9,25.61,1599345360,32.41,1599379800,27.81,1599345360,42.43,1599380220
295,dang,lamahi,27.88486889,82.33509611,1599329700,Humid throughout the day.,rain,1599351180,1599396420,0.64,0.1688,0.3501,1599351720,0.49,rain,34.05,1599380880,24.19,1599434880,41.88,1599385500,25.41,1599434640,24.86,0.81,1004.7,1.42,3.63,1599382440,113,0.18,11,1599372360,16.093,264.8,24.66,1599349020,34.05,1599380880,25.94,1599348480,41.88,1599385500
296,banke,khajura (nepalganj),28.11368333,81.59030556,1599330600,Humid throughout the day.,rain,1599351360,1599396660,0.64,0.3873,1.6582,1599340740,0.6,rain,31.43,1599379500,24.77,1599435720,39.23,1599379260,25.96,1599435240,24.75,0.83,1004.4,1.7,2.69,1599382800,73,0.16,11,1599373380,16.093,265.8,25.05,1599348600,31.43,1599379500,26.24,1599348960,39.23,1599379260
297,bara,nijgadh,27.16416667,84.98,1599329700,Rain in the evening.,rain,1599350580,1599395760,0.64,0.2758,1.0316,1599393300,0.65,rain,32.41,1599379800,24.16,1599434760,42.43,1599380220,25.43,1599434580,25.84,0.87,1005.0,2.09,3.6,1599380340,96,0.48,9,1599373200,16.093,264.9,25.61,1599345360,32.41,1599379800,27.81,1599345360,42.43,1599380220
298,dadeldhura,dadeldhura,29.301352,80.58775194,1599329700,Humid throughout the day.,rain,1599351540,1599396900,0.64,0.2465,1.1266,1599416100,0.41,rain,25.13,1599375120,16.56,1599435780,25.85,1599375660,17.9,1599434580,19.49,0.99,1006.6,0.85,2.5,1599384060,165,0.15,11,1599372660,16.093,262.4,16.13,1599348840,25.13,1599375120,17.48,1599348420,25.85,1599375660
299,morang,mugu,26.483967,87.26700600000001,1599329700,Rain and humid throughout the day.,rain,1599350040,1599395220,0.64,0.7411,5.0831,1599329700,0.95,rain,29.81,1599381420,23.47,1599435900,35.63,1599385140,24.55,1599435780,24.14,0.86,1005.2,2.86,9.52,1599412560,94,0.98,5,1599374100,15.725,263.9,24.33,1599342960,29.81,1599381420,25.62,1599342960,35.63,1599385140
300,mugu,seroge,29.58904306,82.30580306,1599329700,Clear throughout the day.,clear-day,1599351120,1599396540,0.64,0.1114,0.4631,1599389580,0.27,rain,17.09,1599375240,7.95,1599436800,18.46,1599376500,9.27,1599443340,10.73,1.0,1009.7,1.46,3.23,1599380460,64,0.31,12,1599372480,15.079,254.9,6.35,1599348540,17.09,1599375240,7.88,1599348360,18.46,1599376500
301,banke,nepalgunj airport,28.051994399999995,81.6228389,1599330600,Humid throughout the day.,rain,1599351360,1599396600,0.64,0.2516,0.8107,1599341220,0.55,rain,31.22,1599379680,24.81,1599435960,38.3,1599379200,25.99,1599435360,24.46,0.82,1004.3,1.76,2.79,1599382800,73,0.17,11,1599373320,16.093,265.8,25.16,1599348660,31.22,1599379680,26.32,1599349020,38.3,1599379200
302,bardiya,rajapur,28.64721944,81.28542778,1599329700,Humid throughout the day.,rain,1599351420,1599396720,0.64,0.2714,0.6939,1599392640,0.55,rain,32.32,1599375840,23.3,1599435360,40.93,1599379620,24.51,1599434940,24.94,0.88,1005.4,1.24,2.51,1599382500,104,0.12,11,1599372780,16.027,265.1,22.99,1599349500,32.32,1599375840,24.21,1599349320,40.93,1599379620
303,dadeldhura,dailekh,29.12785778,80.34740778,1599329700,Rain overnight.,rain,1599351660,1599396960,0.64,0.1811,1.316,1599416100,0.45,rain,32.05,1599377940,22.81,1599434340,48.72,1599386760,24.21,1599434160,26.52,0.96,1005.9,1.24,2.36,1599384600,138,0.1,11,1599373200,16.093,264.3,22.51,1599348660,32.05,1599377940,23.77,1599348540,48.72,1599386760
304,bajhang,rayal,29.464595000000003,80.95405,1599329700,Humid throughout the day.,rain,1599351480,1599396840,0.64,0.2524,0.8753,1599384840,0.38,rain,28.92,1599376080,17.34,1599436620,36.37,1599381600,18.01,1599436560,22.22,0.98,1007.6,0.87,2.12,1599379860,142,0.16,11,1599372600,15.568,261.1,17.14,1599349500,28.92,1599376080,18.16,1599349500,36.37,1599381600
305,solukhumbu,salleri,27.81666667,86.71666667,1599329700,Foggy in the morning and afternoon.,fog,1599350160,1599395400,0.64,0.0434,0.1517,1599383700,0.32,rain,9.5,1599375840,2.64,1599437700,8.39,1599375600,2.91,1599437700,5.44,1.0,1008.1,1.39,2.7,1599381180,322,0.94,7,1599372660,7.705,251.2,2.26,1599349800,9.5,1599375840,2.53,1599349800,9.67,1599401580
306,lamjung,gausala,28.07621667,84.47669444,1599329700,Humid throughout the day.,rain,1599350700,1599395940,0.64,0.2619,0.7782,1599390180,0.39,rain,32.33,1599384840,20.52,1599436500,38.37,1599386400,21.38,1599436500,22.35,0.81,1007.0,0.96,1.91,1599382620,334,0.36,11,1599372660,13.706,263.2,20.85,1599350700,32.33,1599384840,21.62,1599350580,38.37,1599386400
307,bajhang,kalukheti,29.447359999999996,81.16838,1599329700,Humid throughout the day.,clear-day,1599351420,1599396780,0.64,0.2243,0.7688,1599386040,0.35,rain,26.95,1599375720,15.54,1599436860,29.48,1599375900,15.98,1599436800,20.44,0.98,1007.7,1.02,2.3,1599378480,106,0.18,12,1599373020,14.484,260.9,15.32,1599350400,26.95,1599375720,15.9,1599350340,29.48,1599375900
308,mustang,ranipauwa (m.nath),28.73887222,83.68183333,1599329700,Partly cloudy throughout the day.,partly-cloudy-day,1599350820,1599396180,0.64,0.0156,0.0544,1599389220,0.15,rain,11.84,1599375600,6.06,1599416160,15.26,1599375960,5.81,1599406980,7.8,1.0,1009.0,1.59,5.18,1599382800,222,0.5,9,1599375420,13.209,253.7,4.4,1599348000,11.84,1599375600,5.81,1599406980,15.26,1599375960
309,dadeldhura,sahukharka,29.288393100000004,80.37301500000001,1599329700,Humid throughout the day.,rain,1599351600,1599396960,0.64,0.2358,1.2881,1599416100,0.42,rain,26.69,1599375660,18.17,1599429900,29.13,1599375780,19.44,1599429780,21.2,0.99,1006.5,1.01,2.61,1599385080,159,0.12,11,1599373080,16.093,263.2,18.08,1599348780,26.69,1599375660,19.34,1599348180,29.13,1599375780
310,dang,ghorai (dang),27.69233306,82.52512694,1599329700,Humid throughout the day.,rain,1599351180,1599396420,0.64,0.2598,1.1305,1599329700,0.64,rain,32.44,1599383280,23.78,1599435120,38.16,1599385020,24.9,1599435120,23.59,0.81,1004.4,1.35,3.74,1599381900,95,0.22,10,1599372120,16.093,265.2,24.13,1599352500,32.44,1599383280,25.28,1599352260,38.16,1599385020
311,makwanpur,makwanpur gadhi,27.43333333,85.03333333,1599329700,Rain in the evening.,rain,1599350580,1599395760,0.64,0.4266,1.6305,1599392760,0.6,rain,31.06,1599372300,22.14,1599436500,42.92,1599385800,23.62,1599436380,26.28,0.98,1005.9,1.17,2.81,1599380880,121,0.5,10,1599372180,16.093,263.3,23.39,1599349320,31.06,1599372300,25.01,1599349020,42.92,1599385800
312,bajura,kailasmandu,29.35291694,81.33385889,1599329700,Humid throughout the day.,clear-day,1599351360,1599396720,0.64,0.1877,0.6352,1599387600,0.37,rain,28.45,1599376320,17.8,1599436560,32.31,1599377820,18.53,1599436440,20.93,0.95,1007.8,1.17,2.56,1599377760,84,0.23,11,1599372600,15.183,260.9,16.64,1599349020,28.45,1599376320,17.41,1599349140,32.31,1599377820
313,chitwan,madi kalyanpur,27.580483299999997,84.2242222,1599329700,Rain in the evening.,rain,1599350760,1599396000,0.64,0.5187,1.9038,1599400380,0.69,rain,35.02,1599378720,23.73,1599434820,43.12,1599386160,25.02,1599434640,23.87,0.77,1005.4,1.38,3.48,1599382800,98,0.28,10,1599373380,15.428,265.0,23.91,1599349560,35.02,1599378720,24.91,1599349560,43.12,1599386160
314,dang,padhampur,28.03719889,82.484156,1599329700,Humid and partly cloudy throughout the day.,rain,1599351180,1599396420,0.64,0.1977,0.7883,1599383940,0.49,rain,30.8,1599376080,21.6,1599435780,36.88,1599376440,22.74,1599435780,24.02,0.91,1005.6,1.22,3.02,1599381960,104,0.23,10,1599371820,16.088,263.6,21.69,1599349800,30.8,1599376080,22.9,1599349740,36.88,1599376440
