district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
Achham,Asara Ghat,28.95029444,81.44431944,2020-10-06 00:00:00,Clear throughout the day.,clear-day,2020-10-06 06:16:00,2020-10-06 18:00:00,0.64,0.0062,0.1117,2020-10-06 00:00:00,0.02,rain,31.11,2020-10-06 13:47:00,18.13,2020-10-07 05:44:00,30.83,2020-10-06 13:47:00,18.4,2020-10-07 05:44:00,14.88,0.6,1009.9,1.44,3.24,1601938380,38,0.13,8,1601964780,16.093,262.6,17.85,2020-10-06 05:49:00,31.11,2020-10-06 13:47:00,18.12,2020-10-06 05:49:00,30.83,2020-10-06 13:47:00,
Achham,Basti,29.03098333,81.17113333,2020-10-06 00:00:00,Clear throughout the day.,clear-day,2020-10-06 06:17:00,2020-10-06 18:01:00,0.64,0.0037,0.0206,2020-10-06 23:46:00,0.01,rain,32.26,2020-10-06 13:39:00,18.89,2020-10-07 05:47:00,31.98,2020-10-06 13:39:00,19.16,2020-10-07 05:47:00,16.31,0.63,1009.9,1.23,2.46,1601939640,13,0.16,8,1601965320,16.093,263.0,18.0,2020-10-06 05:55:00,32.26,2020-10-06 13:39:00,18.27,2020-10-06 05:55:00,31.98,2020-10-06 13:39:00,
Achham,Mangalsen,29.13611389,81.25009167,2020-10-06 00:00:00,Clear throughout the day.,clear-day,2020-10-06 06:17:00,2020-10-06 18:01:00,0.64,0.0033,0.026,2020-10-06 00:00:00,0.01,rain,29.12,2020-10-06 13:44:00,16.87,2020-10-07 05:53:00,28.84,2020-10-06 13:44:00,17.14,2020-10-07 05:53:00,12.27,0.58,1010.2,1.27,2.63,1601938680,34,0.13,8,1601965560,16.093,262.6,16.2,2020-10-06 05:53:00,29.12,2020-10-06 13:44:00,16.47,2020-10-06 05:53:00,28.84,2020-10-06 13:44:00,
Achham,Sugali,29.17980694,81.37293889,2020-10-06 00:00:00,Clear throughout the day.,clear-day,2020-10-06 06:17:00,2020-10-06 18:01:00,0.64,0.0033,0.0292,2020-10-06 00:00:00,0.01,rain,26.13,2020-10-06 13:23:00,14.97,2020-10-07 05:47:00,25.85,2020-10-06 13:23:00,15.24,2020-10-07 05:47:00,10.86,0.62,1010.8,1.51,3.45,1601938260,40,0.15,8,1601965320,16.093,261.4,14.19,2020-10-06 05:52:00,26.13,2020-10-06 13:23:00,14.46,2020-10-06 05:52:00,25.85,2020-10-06 13:23:00,
Arghakhanchi,Rangsing,27.80330278,82.78400833,2020-10-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-06 06:10:00,2020-10-06 17:56:00,0.64,0.02,0.1908,2020-10-07 00:00:00,0.04,rain,32.9,2020-10-06 13:46:00,21.72,2020-10-07 05:21:00,34.49,2020-10-06 13:47:00,22.13,2020-10-07 05:29:00,19.18,0.65,1007.7,1.64,2.59,1601975220,85,0.3,8,1601964540,16.093,263.1,20.97,2020-10-06 04:50:00,32.9,2020-10-06 13:46:00,21.39,2020-10-06 04:54:00,34.49,2020-10-06 13:47:00,
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-10-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-06 06:09:00,2020-10-06 17:54:00,0.64,0.0175,0.1047,2020-10-06 17:11:00,0.04,rain,29.54,2020-10-06 13:34:00,17.64,2020-10-07 05:41:00,29.36,2020-10-06 13:40:00,17.91,2020-10-07 05:41:00,15.73,0.68,1009.2,1.42,2.2,1601974800,32,0.32,8,1601966400,16.093,261.3,17.12,2020-10-06 05:35:00,29.54,2020-10-06 13:34:00,17.39,2020-10-06 05:35:00,29.36,2020-10-06 13:40:00,
Arghakhanchi,Sidhara,27.7945,82.82838333,2020-10-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-06 06:10:00,2020-10-06 17:55:00,0.64,0.0201,0.1802,2020-10-07 00:00:00,0.04,rain,32.33,2020-10-06 13:45:00,21.85,2020-10-07 05:26:00,33.6,2020-10-06 13:46:00,22.21,2020-10-07 05:34:00,18.89,0.65,1007.6,1.65,2.53,1601974980,86,0.3,8,1601964600,16.093,263.1,21.33,2020-10-06 04:56:00,32.33,2020-10-06 13:45:00,21.73,2020-10-06 05:01:00,33.6,2020-10-06 13:46:00,
Baglung,Baglung,28.26363611,83.60032222,2020-10-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-06 06:07:00,2020-10-06 17:52:00,0.64,0.0132,0.0632,2020-10-06 17:03:00,0.03,rain,28.47,2020-10-06 13:47:00,16.02,2020-10-07 05:37:00,28.2,2020-10-06 13:53:00,16.29,2020-10-07 05:37:00,12.65,0.62,1011.3,1.44,3.16,1601940660,324,0.3,8,1601964720,16.093,259.4,15.08,2020-10-06 05:45:00,28.47,2020-10-06 13:47:00,15.35,2020-10-06 05:45:00,28.2,2020-10-06 13:53:00,
Baglung,Dhorpatan,28.48333333,83.08333333,2020-10-06 00:00:00,Clear throughout the day.,clear-day,2020-10-06 06:10:00,2020-10-06 17:54:00,0.64,0.0227,0.0775,2020-10-06 18:55:00,0.12,rain,18.18,2020-10-06 12:48:00,7.71,2020-10-07 05:18:00,17.9,2020-10-06 12:48:00,6.7,2020-10-07 05:16:00,6.07,0.74,1012.4,1.71,3.08,1601939820,24,0.24,9,1601963460,16.093,255.4,7.32,2020-10-06 05:43:00,18.18,2020-10-06 12:48:00,6.0,2020-10-06 05:40:00,17.9,2020-10-06 12:48:00,
Baglung,Galkot,28.21869167,83.41881111,2020-10-06 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-06 06:08:00,2020-10-06 17:53:00,0.64,0.0155,0.0583,2020-10-06 16:00:00,0.04,rain,27.48,2020-10-06 13:48:00,13.82,2020-10-07 05:43:00,27.2,2020-10-06 13:48:00,14.09,2020-10-07 05:43:00,10.69,0.59,1011.0,1.47,2.94,1601940600,331,0.33,8,1601964480,16.093,259.4,12.96,2020-10-06 05:44:00,27.48,2020-10-06 13:48:00,13.23,2020-10-06 05:44:00,27.2,2020-10-06 13:48:00,
