district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Bajhang,Chainpur Bajhang Aws Climate,29.545890000000004,81.20114000000001,2020-09-23 00:00:00,Partly cloudy throughout the day.,rain,2020-09-23 06:11:00,2020-09-23 18:17:00,0.23,0.2299,1.0463,2020-09-23 14:53:00,0.48,rain,24.16,2020-09-23 11:47:00,14.83,2020-09-24 04:53:00,23.99,2020-09-23 11:53:00,15.19,2020-09-24 04:39:00,15.38,0.86,1007.5,1.16,2.4,1600841580,72,0.57,9,1600840500,15.402,254.7,14.72,2020-09-23 05:01:00,24.16,2020-09-23 11:47:00,14.99,2020-09-23 05:01:00,23.99,2020-09-23 11:53:00
Bajhang,Kalukheti,29.447359999999996,81.16838,2020-09-23 00:00:00,Humid and partly cloudy throughout the day.,rain,2020-09-23 06:11:00,2020-09-23 18:17:00,0.23,0.2724,0.9773,2020-09-23 14:53:00,0.53,rain,25.74,2020-09-23 11:46:00,14.84,2020-09-24 05:57:00,25.82,2020-09-23 11:51:00,15.78,2020-09-24 05:50:00,17.92,0.93,1007.1,1.04,2.13,1600841640,86,0.58,9,1600840500,15.573,255.7,15.64,2020-09-23 05:41:00,25.74,2020-09-23 11:46:00,16.04,2020-09-23 05:42:00,25.82,2020-09-23 11:51:00
Bajhang,Rayal,29.464595000000003,80.95405,2020-09-23 00:00:00,Humid and partly cloudy throughout the day.,rain,2020-09-23 06:12:00,2020-09-23 18:18:00,0.23,0.2648,0.6528,2020-09-23 15:16:00,0.54,rain,28.41,2020-09-23 12:05:00,17.22,2020-09-24 06:13:00,29.97,2020-09-23 12:41:00,18.17,2020-09-24 05:39:00,19.77,0.91,1006.8,0.89,1.8,1600838820,100,0.5,10,1600840620,16.082,256.6,17.47,2020-09-23 05:10:00,28.41,2020-09-23 12:05:00,18.07,2020-09-23 05:09:00,29.97,2020-09-23 12:41:00
Bajura,Bajura (Martadi),29.45697889,81.48038389,2020-09-23 00:00:00,Mostly cloudy throughout the day.,rain,2020-09-23 06:09:00,2020-09-23 18:16:00,0.23,0.4464,1.9285,2020-09-23 14:54:00,0.45,rain,19.22,2020-09-23 10:51:00,13.34,2020-09-23 23:54:00,19.53,2020-09-23 11:07:00,14.08,2020-09-24 01:13:00,14.89,0.99,1008.1,1.17,2.87,1600841940,60,0.8,7,1600841160,14.368,253.2,12.19,2020-09-23 05:16:00,19.22,2020-09-23 10:51:00,12.45,2020-09-23 05:16:00,19.53,2020-09-23 11:07:00
Bajura,Kailasmandu,29.35291694,81.33385889,2020-09-23 00:00:00,Humid and mostly cloudy throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.3551,1.0514,2020-09-23 14:55:00,0.54,rain,24.27,2020-09-23 11:32:00,16.5,2020-09-24 05:39:00,24.44,2020-09-23 11:41:00,17.14,2020-09-24 04:58:00,17.62,0.9,1007.4,1.09,2.23,1600842180,69,0.71,8,1600840740,14.613,255.0,16.83,2020-09-24 00:00:00,24.27,2020-09-23 11:32:00,17.18,2020-09-23 05:01:00,24.44,2020-09-23 11:41:00
Bajura,Kolti,29.50348694,81.66617611,2020-09-23 00:00:00,Mostly cloudy throughout the day.,rain,2020-09-23 06:09:00,2020-09-23 18:15:00,0.23,0.4873,2.2049,2020-09-23 14:53:00,0.45,rain,17.78,2020-09-23 11:33:00,11.63,2020-09-23 23:57:00,17.96,2020-09-23 11:41:00,12.2,2020-09-24 00:24:00,13.24,1.0,1008.7,0.81,3.14,1600841820,19,0.81,7,1600841100,15.561,252.9,9.72,2020-09-23 05:11:00,17.78,2020-09-23 11:33:00,9.99,2020-09-23 05:11:00,17.96,2020-09-23 11:41:00
Banke,Amlekhganj,27.94748333,81.78569444,2020-09-23 00:15:00,Rain and humid throughout the day.,rain,2020-09-23 06:08:00,2020-09-23 18:15:00,0.24,0.5159,1.1463,2020-09-24 00:15:00,0.91,rain,26.08,2020-09-23 13:08:00,22.11,2020-09-24 06:21:00,27.81,2020-09-23 13:05:00,23.49,2020-09-24 06:13:00,24.46,0.99,1003.9,2.01,5.47,1600808100,72,0.97,5,1600842720,15.767,258.1,23.24,2020-09-24 00:15:00,26.38,2020-09-23 00:15:00,24.4,2020-09-24 00:15:00,28.18,2020-09-23 00:15:00
Banke,Dhakeri,28.10055556,81.66824722,2020-09-23 00:15:00,Rain and humid throughout the day.,rain,2020-09-23 06:09:00,2020-09-23 18:15:00,0.24,0.4436,1.2902,2020-09-24 00:15:00,0.9,rain,26.54,2020-09-23 11:51:00,22.25,2020-09-24 06:34:00,29.3,2020-09-23 11:52:00,23.66,2020-09-24 06:24:00,24.64,0.99,1004.1,1.52,3.72,1600799400,68,0.98,5,1600842720,15.925,258.5,23.42,2020-09-24 00:15:00,26.54,2020-09-23 11:51:00,24.61,2020-09-24 00:15:00,29.3,2020-09-23 11:52:00
Banke,Khajura (Nepalganj),28.11368333,81.59030556,2020-09-23 00:15:00,Rain and humid throughout the day.,rain,2020-09-23 06:09:00,2020-09-23 18:15:00,0.24,0.4468,1.3214,2020-09-24 00:15:00,0.9,rain,26.4,2020-09-23 11:50:00,22.45,2020-09-24 06:37:00,28.88,2020-09-23 11:50:00,23.87,2020-09-24 06:30:00,24.6,0.99,1004.1,1.69,4.7,1600799400,73,0.98,5,1600842600,15.947,258.6,23.37,2020-09-24 00:15:00,26.4,2020-09-23 11:50:00,24.56,2020-09-24 00:15:00,28.88,2020-09-23 11:50:00
Banke,Naubasta,28.230225,81.65270278,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:09:00,2020-09-23 18:15:00,0.23,0.3949,1.1855,2020-09-24 00:00:00,0.89,rain,27.29,2020-09-23 11:58:00,22.24,2020-09-24 06:52:00,33.51,2020-09-23 12:14:00,23.77,2020-09-24 06:28:00,25.1,1.0,1004.5,1.0,2.53,1600798500,60,0.99,5,1600842540,15.824,258.6,23.82,2020-09-23 06:32:00,27.29,2020-09-23 11:58:00,25.2,2020-09-24 00:00:00,33.51,2020-09-23 12:14:00
Banke,Nepalgunj Airport,28.051994399999995,81.6228389,2020-09-23 00:15:00,Rain and humid throughout the day.,rain,2020-09-23 06:09:00,2020-09-23 18:15:00,0.24,0.4622,1.3623,2020-09-24 00:15:00,0.9,rain,26.17,2020-09-23 11:47:00,22.42,2020-09-24 06:30:00,28.08,2020-09-23 11:47:00,23.81,2020-09-24 06:24:00,24.39,0.99,1004.0,1.88,5.25,1600829760,72,0.97,5,1600842720,15.747,258.5,23.1,2020-09-24 00:15:00,26.17,2020-09-23 11:47:00,24.25,2020-09-24 00:15:00,28.08,2020-09-23 11:47:00
