district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Asara Ghat,28.95029444,81.44431944,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:20:00,2020-10-12 17:54:00,0.84,0.001,0.0051,2020-10-12 06:45:00,0.01,rain,30.82,2020-10-12 13:31:00,18.51,2020-10-13 05:39:00,30.51,2020-10-12 13:33:00,18.78,2020-10-13 05:39:00,14.96,0.6,1008.3,1.37,2.67,1602456540,49,0.11,7,1602481680,16.093,253.3,18.1,2020-10-12 05:48:00,30.82,2020-10-12 13:31:00,18.37,2020-10-12 05:48:00,30.51,2020-10-12 13:33:00
Achham,Basti,29.03098333,81.17113333,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:21:00,2020-10-12 17:55:00,0.84,0.001,0.0051,2020-10-12 06:45:00,0.01,rain,32.16,2020-10-12 13:32:00,18.48,2020-10-13 05:37:00,31.87,2020-10-12 13:32:00,18.75,2020-10-13 05:37:00,15.45,0.61,1008.2,1.15,2.04,1602452760,14,0.12,7,1602482820,16.093,254.2,17.87,2020-10-12 05:43:00,32.16,2020-10-12 13:32:00,18.14,2020-10-12 05:43:00,31.87,2020-10-12 13:32:00
Achham,Mangalsen,29.13611389,81.25009167,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:21:00,2020-10-12 17:54:00,0.84,0.001,0.0051,2020-10-12 06:45:00,0.01,rain,28.88,2020-10-12 13:33:00,16.92,2020-10-13 05:30:00,28.6,2020-10-12 13:33:00,17.19,2020-10-13 05:30:00,12.85,0.6,1008.5,1.22,2.14,1602456780,66,0.13,8,1602483420,16.093,253.4,16.75,2020-10-12 05:54:00,28.88,2020-10-12 13:33:00,17.02,2020-10-12 05:54:00,28.6,2020-10-12 13:33:00
Achham,Sugali,29.17980694,81.37293889,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:20:00,2020-10-12 17:54:00,0.84,0.001,0.0051,2020-10-12 06:45:00,0.02,rain,26.17,2020-10-12 13:26:00,14.97,2020-10-13 05:34:00,25.89,2020-10-12 13:26:00,15.24,2020-10-13 05:34:00,11.9,0.66,1009.0,1.4,2.96,1602457140,57,0.16,8,1602482940,16.093,251.9,14.79,2020-10-12 06:00:00,26.17,2020-10-12 13:26:00,15.06,2020-10-12 06:00:00,25.89,2020-10-12 13:26:00
Arghakhanchi,Rangsing,27.80330278,82.78400833,2020-10-12 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-12 06:14:00,2020-10-12 17:49:00,0.84,0.0018,0.006,2020-10-12 07:42:00,0.01,rain,32.97,2020-10-12 13:32:00,22.33,2020-10-13 04:57:00,34.03,2020-10-12 13:32:00,22.8,2020-10-13 04:55:00,19.07,0.63,1005.8,1.32,1.89,1602440100,53,0.36,7,1602479640,16.093,252.9,21.48,2020-10-12 05:09:00,32.97,2020-10-12 13:32:00,21.92,2020-10-12 05:15:00,34.03,2020-10-12 13:32:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-10-12 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-12 06:12:00,2020-10-12 17:48:00,0.84,0.0127,0.059,2020-10-12 15:45:00,0.03,rain,28.35,2020-10-12 13:34:00,18.06,2020-10-13 05:33:00,28.12,2020-10-12 13:34:00,18.33,2020-10-13 05:34:00,15.52,0.67,1007.6,1.21,1.8,1602492360,28,0.44,7,1602483420,16.093,250.2,18.07,2020-10-12 06:15:00,28.35,2020-10-12 13:34:00,18.41,2020-10-12 05:50:00,28.12,2020-10-12 13:34:00
Arghakhanchi,Sidhara,27.7945,82.82838333,2020-10-12 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-12 06:13:00,2020-10-12 17:49:00,0.84,0.0018,0.0054,2020-10-12 07:15:00,0.01,rain,32.4,2020-10-12 13:30:00,22.37,2020-10-13 04:56:00,33.03,2020-10-12 13:29:00,22.79,2020-10-13 04:53:00,18.29,0.61,1005.8,1.32,1.87,1602440100,52,0.36,7,1602479880,16.093,252.8,21.68,2020-10-12 05:22:00,32.4,2020-10-12 13:30:00,22.05,2020-10-12 05:24:00,33.03,2020-10-12 13:29:00
Baglung,Baglung,28.26363611,83.60032222,2020-10-12 00:00:00,Mostly cloudy throughout the day.,partly-cloudy-day,2020-10-12 06:11:00,2020-10-12 17:46:00,0.84,0.0559,0.2357,2020-10-12 17:26:00,0.15,rain,25.6,2020-10-12 13:41:00,15.77,2020-10-13 05:42:00,25.32,2020-10-12 13:41:00,16.04,2020-10-13 05:42:00,13.56,0.69,1009.9,1.22,2.1,1602492360,322,0.61,7,1602482940,16.093,247.4,16.12,2020-10-12 06:34:00,25.6,2020-10-12 13:41:00,16.39,2020-10-12 06:34:00,25.32,2020-10-12 13:41:00
Baglung,Dhorpatan,28.48333333,83.08333333,2020-10-12 00:00:00,Foggy in the afternoon and evening.,fog,2020-10-12 06:13:00,2020-10-12 17:47:00,0.84,0.1246,0.2877,2020-10-12 02:38:00,0.32,rain,16.74,2020-10-12 13:03:00,7.2,2020-10-13 05:41:00,16.51,2020-10-12 13:08:00,6.46,2020-10-13 05:38:00,10.8,0.99,1010.9,1.38,2.77,1602488400,11,0.59,7,1602483180,14.19,245.0,7.23,2020-10-12 06:05:00,16.74,2020-10-12 13:03:00,6.68,2020-10-12 06:05:00,16.51,2020-10-12 13:08:00
Baglung,Galkot,28.21869167,83.41881111,2020-10-12 00:00:00,Mostly cloudy throughout the day.,partly-cloudy-day,2020-10-12 06:11:00,2020-10-12 17:46:00,0.84,0.0647,0.2824,2020-10-12 17:38:00,0.17,rain,25.15,2020-10-12 13:37:00,14.34,2020-10-13 06:06:00,24.87,2020-10-12 13:37:00,14.61,2020-10-13 06:06:00,12.68,0.69,1009.6,1.36,1.98,1602492540,336,0.58,7,1602482940,16.093,247.7,14.27,2020-10-12 06:33:00,25.15,2020-10-12 13:37:00,14.54,2020-10-12 06:33:00,24.87,2020-10-12 13:37:00
Baglung,Rangkhani,28.14408889,83.55824444,2020-10-12 00:00:00,Partly cloudy throughout the day.,partly-cloudy-day,2020-10-12 06:11:00,2020-10-12 17:46:00,0.84,0.0359,0.1661,2020-10-12 17:35:00,0.09,rain,23.56,2020-10-12 13:36:00,14.79,2020-10-13 05:27:00,23.28,2020-10-12 13:36:00,15.06,2020-10-13 05:27:00,12.17,0.7,1008.9,1.19,1.81,1602492120,336,0.54,7,1602482940,16.093,248.3,14.85,2020-10-12 06:37:00,23.56,2020-10-12 13:36:00,15.12,2020-10-12 06:37:00,23.28,2020-10-12 13:36:00
Baitadi,Patan (West),29.467137,80.54575109999999,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:24:00,2020-10-12 17:57:00,0.84,0.0016,0.0067,2020-10-12 10:47:00,0.02,rain,29.09,2020-10-12 13:29:00,14.93,2020-10-13 05:38:00,28.78,2020-10-12 13:30:00,15.2,2020-10-13 05:39:00,15.13,0.73,1008.7,1.14,2.29,1602493440,186,0.21,8,1602484980,16.093,252.9,14.44,2020-10-12 05:50:00,29.09,2020-10-12 13:29:00,14.71,2020-10-12 05:50:00,28.78,2020-10-12 13:30:00
Baitadi,Satbanjh,29.4973,80.49741194,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:24:00,2020-10-12 17:57:00,0.84,0.0016,0.0092,2020-10-12 10:47:00,0.02,rain,25.6,2020-10-12 13:27:00,12.79,2020-10-13 04:53:00,25.32,2020-10-12 13:27:00,13.26,2020-10-13 05:03:00,13.69,0.8,1008.2,1.17,2.41,1602493500,195,0.17,8,1602485220,16.093,253.1,12.95,2020-10-12 05:44:00,25.6,2020-10-12 13:27:00,13.32,2020-10-12 05:45:00,25.32,2020-10-12 13:27:00
Bajhang,Chainpur (West),29.55,81.21666667,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:21:00,2020-10-12 17:54:00,0.84,0.0056,0.0643,2020-10-12 23:44:00,0.03,rain,25.37,2020-10-12 13:28:00,12.0,2020-10-13 05:27:00,25.09,2020-10-12 13:28:00,12.27,2020-10-13 05:27:00,9.19,0.62,1010.8,1.32,2.77,1602458400,63,0.33,8,1602482100,16.093,249.1,12.28,2020-10-12 05:48:00,25.37,2020-10-12 13:28:00,12.55,2020-10-12 05:48:00,25.09,2020-10-12 13:28:00
Bajhang,Chainpur Bajhang Aws Climate,29.545890000000004,81.20114000000001,2020-10-12 00:00:00,Clear throughout the day.,clear-day,2020-10-12 06:21:00,2020-10-12 17:54:00,0.84,0.0057,0.0627,2020-10-12 23:44:00,0.02,rain,25.48,2020-10-12 13:28:00,12.4,2020-10-13 05:25:00,25.2,2020-10-12 13:28:00,12.67,2020-10-13 05:25:00,9.16,0.61,1010.7,1.3,2.74,1602458340,65,0.33,8,1602482160,16.093,249.3,12.65,2020-10-12 05:49:00,25.48,2020-10-12 13:28:00,12.92,2020-10-12 05:49:00,25.2,2020-10-12 13:28:00
