district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
Achham,Asara Ghat,28.95029444,81.44431944,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:11:00,2021-01-27 17:55:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,20.96,2021-01-27 13:42:00,6.97,2021-01-28 06:35:00,20.68,2021-01-27 13:42:00,5.57,2021-01-28 06:24:00,-6.46,0.29,1017.7,2.08,3.53,1611699960,35,0.03,6,1611730020,16.093,262.1,6.43,2021-01-27 06:30:00,20.96,2021-01-27 13:42:00,4.85,2021-01-27 06:23:00,20.68,2021-01-27 13:42:00,
Achham,Basti,29.03098333,81.17113333,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:13:00,2021-01-27 17:56:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,21.65,2021-01-27 13:43:00,6.26,2021-01-28 06:32:00,21.37,2021-01-27 13:43:00,5.29,2021-01-28 06:21:00,-2.22,0.42,1017.9,1.66,2.6,1611695040,7,0.05,6,1611729900,16.093,262.6,5.47,2021-01-27 06:04:00,21.65,2021-01-27 13:43:00,4.24,2021-01-27 06:01:00,21.37,2021-01-27 13:43:00,
Achham,Mangalsen,29.13611389,81.25009167,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:13:00,2021-01-27 17:55:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,19.56,2021-01-27 13:44:00,6.42,2021-01-28 06:23:00,19.28,2021-01-27 13:44:00,5.18,2021-01-28 05:58:00,-9.45,0.26,1017.5,1.82,2.84,1611698820,36,0.02,6,1611730080,16.093,263.2,5.42,2021-01-27 06:08:00,19.56,2021-01-27 13:44:00,3.93,2021-01-27 06:06:00,19.28,2021-01-27 13:44:00,
Achham,Sugali,29.17980694,81.37293889,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:12:00,2021-01-27 17:55:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,17.35,2021-01-27 13:42:00,5.32,2021-01-28 07:00:00,17.07,2021-01-27 13:42:00,3.33,2021-01-28 06:15:00,-12.29,0.24,1017.7,2.25,3.91,1611698940,45,0.01,6,1611730080,16.093,262.4,4.03,2021-01-27 06:07:00,17.35,2021-01-27 13:42:00,1.69,2021-01-27 06:06:00,17.07,2021-01-27 13:42:00,
Arghakhanchi,Rangsing,27.80330278,82.78400833,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:04:00,2021-01-27 17:51:00,0.46,0.0003,0.002,2021-01-27 02:47:00,0.01,rain,21.67,2021-01-27 14:21:00,8.66,2021-01-28 06:18:00,21.39,2021-01-27 14:21:00,8.37,2021-01-28 05:30:00,6.66,0.65,1016.7,1.46,2.31,1611744300,8,0.23,6,1611729120,16.093,257.2,8.18,2021-01-27 06:20:00,21.67,2021-01-27 14:21:00,8.06,2021-01-27 05:45:00,21.39,2021-01-27 14:21:00,
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:03:00,2021-01-27 17:50:00,0.46,0.0003,0.002,2021-01-27 02:46:00,0.01,rain,19.04,2021-01-27 13:23:00,7.11,2021-01-28 05:55:00,18.76,2021-01-27 13:23:00,6.41,2021-01-28 05:42:00,3.63,0.61,1016.7,1.58,2.23,1611741300,19,0.15,6,1611729300,16.093,256.0,6.51,2021-01-27 05:53:00,19.04,2021-01-27 13:23:00,5.77,2021-01-27 05:50:00,18.76,2021-01-27 13:23:00,
Arghakhanchi,Sidhara,27.7945,82.82838333,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:04:00,2021-01-27 17:51:00,0.46,0.0004,0.002,2021-01-27 02:50:00,0.01,rain,21.18,2021-01-27 14:21:00,9.26,2021-01-28 06:38:00,20.9,2021-01-27 14:21:00,9.15,2021-01-28 06:24:00,6.76,0.65,1016.6,1.45,2.21,1611744300,14,0.21,6,1611729060,16.093,257.2,8.55,2021-01-27 06:30:00,21.18,2021-01-27 14:21:00,8.58,2021-01-27 05:52:00,20.9,2021-01-27 14:21:00,
Baglung,Baglung,28.26363611,83.60032222,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:02:00,2021-01-27 17:47:00,0.46,0.0003,0.002,2021-01-27 02:45:00,0.01,rain,18.79,2021-01-27 13:46:00,6.96,2021-01-28 02:38:00,18.51,2021-01-27 13:46:00,6.08,2021-01-28 02:35:00,0.59,0.52,1017.3,1.69,2.8,1611698460,339,0.12,6,1611728580,16.093,255.3,6.07,2021-01-27 00:00:00,18.79,2021-01-27 13:46:00,5.16,2021-01-27 05:53:00,18.51,2021-01-27 13:46:00,
Baglung,Dhorpatan,28.48333333,83.08333333,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:04:00,2021-01-27 17:49:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,9.41,2021-01-27 13:09:00,-0.1,2021-01-28 00:37:00,7.76,2021-01-27 13:11:00,-2.59,2021-01-28 00:46:00,-17.26,0.25,1017.0,2.02,2.87,1611732180,30,0.04,7,1611729540,16.093,252.4,-0.67,2021-01-27 00:00:00,9.41,2021-01-27 13:09:00,-3.18,2021-01-27 05:39:00,7.76,2021-01-27 13:11:00,
Baglung,Galkot,28.21869167,83.41881111,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:02:00,2021-01-27 17:48:00,0.46,0.0003,0.002,2021-01-27 02:45:00,0.01,rain,18.83,2021-01-27 13:40:00,5.64,2021-01-28 06:37:00,18.55,2021-01-27 13:40:00,4.66,2021-01-28 06:34:00,0.36,0.53,1017.0,1.61,2.64,1611698700,336,0.13,6,1611728940,16.093,255.4,4.83,2021-01-27 06:13:00,18.83,2021-01-27 13:40:00,3.65,2021-01-27 06:08:00,18.55,2021-01-27 13:40:00,
Baglung,Rangkhani,28.14408889,83.55824444,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:02:00,2021-01-27 17:48:00,0.46,0.0003,0.002,2021-01-27 02:45:00,0.01,rain,17.21,2021-01-27 13:43:00,5.85,2021-01-28 06:27:00,16.93,2021-01-27 13:43:00,5.06,2021-01-28 06:18:00,-1.23,0.5,1016.5,1.57,2.42,1611704520,332,0.15,6,1611728700,16.093,255.6,4.88,2021-01-27 06:00:00,17.21,2021-01-27 13:43:00,3.84,2021-01-27 05:55:00,16.93,2021-01-27 13:43:00,
Baitadi,Patan (West),29.467137,80.54575109999999,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:16:00,2021-01-27 17:58:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,19.52,2021-01-27 13:45:00,3.51,2021-01-28 07:00:00,19.24,2021-01-27 13:45:00,2.71,2021-01-28 06:27:00,-9.63,0.34,1017.9,1.44,2.86,1611744720,114,0.02,6,1611730260,16.093,265.8,2.07,2021-01-27 06:10:00,19.52,2021-01-27 13:45:00,1.07,2021-01-27 06:15:00,19.24,2021-01-27 13:45:00,
Baitadi,Satbanjh,29.4973,80.49741194,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:16:00,2021-01-27 17:58:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,17.09,2021-01-27 13:50:00,2.45,2021-01-28 01:55:00,16.81,2021-01-27 13:50:00,1.5,2021-01-28 06:18:00,-11.74,0.32,1017.6,1.48,2.98,1611744720,121,0.0,6,1611730320,16.093,266.3,1.0,2021-01-27 05:59:00,17.09,2021-01-27 13:50:00,-0.12,2021-01-27 06:04:00,16.81,2021-01-27 13:50:00,
Bajhang,Chainpur (West),29.55,81.21666667,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:13:00,2021-01-27 17:55:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,15.44,2021-01-27 13:43:00,1.51,2021-01-28 00:38:00,15.16,2021-01-27 13:43:00,-0.95,2021-01-28 00:41:00,-15.57,0.22,1019.0,2.16,3.67,1611705360,52,0.0,6,1611730140,16.093,264.3,1.34,2021-01-27 00:57:00,15.44,2021-01-27 13:43:00,-1.27,2021-01-27 04:56:00,15.16,2021-01-27 13:43:00,
Bajhang,Chainpur Bajhang Aws Climate,29.545890000000004,81.20114000000001,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:13:00,2021-01-27 17:55:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,15.88,2021-01-27 13:42:00,1.78,2021-01-28 00:42:00,15.6,2021-01-27 13:42:00,-0.58,2021-01-28 00:44:00,-13.5,0.25,1019.0,2.12,3.58,1611705360,54,0.0,6,1611730140,16.093,264.4,1.63,2021-01-27 00:54:00,15.88,2021-01-27 13:42:00,-0.9,2021-01-27 05:05:00,15.6,2021-01-27 13:42:00,
Bajhang,Kalukheti,29.447359999999996,81.16838,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:13:00,2021-01-27 17:55:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,18.41,2021-01-27 13:43:00,4.17,2021-01-28 00:51:00,18.13,2021-01-27 13:43:00,2.46,2021-01-28 00:55:00,-15.21,0.19,1018.1,1.95,3.27,1611705420,60,0.0,6,1611730140,16.093,264.5,3.17,2021-01-27 06:27:00,18.41,2021-01-27 13:43:00,1.18,2021-01-27 06:22:00,18.13,2021-01-27 13:43:00,
Bajhang,Rayal,29.464595000000003,80.95405,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:14:00,2021-01-27 17:56:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,20.29,2021-01-27 13:51:00,4.45,2021-01-28 02:45:00,20.01,2021-01-27 13:51:00,3.32,2021-01-28 02:49:00,-11.34,0.25,1018.0,1.6,2.44,1611703500,60,0.0,6,1611730200,16.093,265.0,3.44,2021-01-27 05:58:00,20.29,2021-01-27 13:51:00,2.13,2021-01-27 05:57:00,20.01,2021-01-27 13:51:00,
Bajura,Bajura (Martadi),29.45697889,81.48038389,2021-01-27 00:00:00,Clear throughout the day.,clear-day,2021-01-27 07:12:00,2021-01-27 17:54:00,0.46,0.0,0.0,2021-01-27 02:45:00,0.0,,14.88,2021-01-27 13:45:00,0.99,2021-01-28 00:48:00,14.6,2021-01-27 13:45:00,-1.73,2021-01-28 00:49:00,-12.91,0.29,1019.1,2.32,4.17,1611698460,67,0.0,6,1611730080,16.093,262.5,0.61,2021-01-27 06:03:00,14.88,2021-01-27 13:45:00,-2.39,2021-01-27 06:04:00,14.6,2021-01-27 13:45:00,
