district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
Baglung,Rangkhani,28.14408889,83.55824444,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:07:00,2020-10-05 17:53:00,0.61,0.019,0.0986,2020-10-05 19:20:00,0.06,rain,25.64,2020-10-05 13:40:00,13.78,2020-10-06 05:21:00,25.36,2020-10-05 13:40:00,14.05,2020-10-06 05:21:00,12.59,0.7,1009.2,1.29,2.52,1601854680,324,0.12,10,1601878440,16.093,260.3,13.56,2020-10-05 05:23:00,25.64,2020-10-05 13:40:00,13.83,2020-10-05 05:23:00,25.36,2020-10-05 13:40:00,
Baitadi,Patan (West),29.467137,80.54575109999999,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:20:00,2020-10-05 18:05:00,0.61,0.0012,0.0068,2020-10-05 00:00:00,0.01,rain,29.75,2020-10-05 13:30:00,13.83,2020-10-06 05:34:00,29.47,2020-10-05 13:30:00,14.1,2020-10-06 05:34:00,13.01,0.66,1009.9,1.12,2.16,1601921700,40,0.04,9,1601879160,16.093,264.1,13.91,2020-10-05 05:40:00,29.75,2020-10-05 13:30:00,14.18,2020-10-05 05:40:00,29.47,2020-10-05 13:30:00,
Baitadi,Satbanjh,29.4973,80.49741194,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:20:00,2020-10-05 18:05:00,0.61,0.0,0.0,2020-10-05 17:45:00,0.0,,26.31,2020-10-05 13:40:00,12.43,2020-10-06 05:24:00,26.03,2020-10-05 13:40:00,12.7,2020-10-06 05:24:00,11.25,0.72,1009.6,1.16,2.31,1601887800,35,0.01,9,1601879160,16.093,264.3,11.88,2020-10-05 05:39:00,26.31,2020-10-05 13:40:00,12.19,2020-10-05 05:41:00,26.03,2020-10-05 13:40:00,
Bajhang,Chainpur (West),29.55,81.21666667,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:17:00,2020-10-05 18:02:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,26.27,2020-10-05 13:31:00,12.45,2020-10-06 05:34:00,25.99,2020-10-05 13:31:00,12.72,2020-10-06 05:34:00,5.27,0.47,1011.4,1.48,3.11,1601853300,50,0.05,9,1601878980,16.093,261.2,11.31,2020-10-05 05:21:00,26.27,2020-10-05 13:31:00,11.58,2020-10-05 05:21:00,25.99,2020-10-05 13:31:00,
Bajhang,Chainpur Bajhang Aws Climate,29.545890000000004,81.20114000000001,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:17:00,2020-10-05 18:02:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,26.44,2020-10-05 13:33:00,12.8,2020-10-06 05:32:00,26.16,2020-10-05 13:33:00,13.07,2020-10-06 05:32:00,5.34,0.47,1011.4,1.46,3.08,1601853360,50,0.05,9,1601878980,16.093,261.3,11.65,2020-10-05 05:17:00,26.44,2020-10-05 13:33:00,11.92,2020-10-05 05:17:00,26.16,2020-10-05 13:33:00,
Bajhang,Kalukheti,29.447359999999996,81.16838,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:17:00,2020-10-05 18:02:00,0.61,0.0008,0.0062,2020-10-05 17:45:00,0.01,rain,28.7,2020-10-05 13:47:00,13.14,2020-10-06 05:38:00,28.42,2020-10-05 13:47:00,13.41,2020-10-06 05:38:00,5.9,0.44,1010.5,1.37,3.03,1601853960,49,0.04,9,1601878980,16.093,262.6,12.37,2020-10-05 05:39:00,28.7,2020-10-05 13:47:00,12.64,2020-10-05 05:39:00,28.42,2020-10-05 13:47:00,
Bajhang,Rayal,29.464595000000003,80.95405,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:18:00,2020-10-05 18:03:00,0.61,0.0012,0.0062,2020-10-05 17:45:00,0.01,rain,30.7,2020-10-05 13:40:00,15.49,2020-10-06 05:30:00,30.42,2020-10-05 13:40:00,15.76,2020-10-06 05:30:00,9.7,0.5,1010.5,1.13,2.48,1601854260,39,0.1,9,1601879040,16.093,263.2,14.85,2020-10-05 05:21:00,30.7,2020-10-05 13:40:00,15.12,2020-10-05 05:21:00,30.42,2020-10-05 13:40:00,
Bajura,Bajura (Martadi),29.45697889,81.48038389,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:01:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,25.2,2020-10-05 13:43:00,11.23,2020-10-06 05:35:00,24.92,2020-10-05 13:43:00,11.5,2020-10-06 05:35:00,7.63,0.62,1011.7,1.64,3.59,1601855400,42,0.0,9,1601878920,16.093,260.4,8.84,2020-10-05 05:23:00,25.2,2020-10-05 13:43:00,7.9,2020-10-05 05:21:00,24.92,2020-10-05 13:43:00,
Bajura,Kailasmandu,29.35291694,81.33385889,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,28.98,2020-10-05 13:41:00,14.98,2020-10-06 05:34:00,28.7,2020-10-05 13:41:00,15.25,2020-10-06 05:34:00,9.44,0.54,1010.9,1.57,3.42,1601854380,44,0.01,9,1601878920,16.093,262.1,13.6,2020-10-05 05:22:00,28.98,2020-10-05 13:41:00,13.87,2020-10-05 05:22:00,28.7,2020-10-05 13:41:00,
Bajura,Kolti,29.50348694,81.66617611,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 06:15:00,2020-10-05 18:00:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,23.11,2020-10-05 13:49:00,7.05,2020-10-06 05:28:00,22.83,2020-10-05 13:49:00,7.32,2020-10-06 05:28:00,7.09,0.71,1012.5,1.06,2.83,1601889660,352,0.0,9,1601878860,16.093,260.5,5.31,2020-10-05 05:22:00,23.11,2020-10-05 13:49:00,5.58,2020-10-05 05:22:00,22.83,2020-10-05 13:49:00,
