,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-05,Humid and mostly cloudy throughout the day.,rain,1599264060,1599309420,0.6,0.199,0.6304,1599297180,0.41,rain,24.99,1599288540,18.42,1599336840,25.77,1599289140,19.79,1599337200,20.98,1.0,1007.3,0.89,2.61,1599294900,237,0.57,9,1599284760,15.96,265.4,17.65,1599263340,24.99,1599288540,18.85,1599263340,25.77,1599289140
1,2020-09-06,Humid and partly cloudy throughout the day.,rain,1599350520,1599395700,0.64,0.6291,1.5147,1599383940,0.56,rain,25.86,1599373500,18.04,1599436800,26.51,1599374400,19.4,1599436800,20.87,0.99,1006.5,0.91,2.54,1599377700,217,0.45,10,1599371880,12.344,261.4,18.42,1599336840,25.86,1599373500,19.79,1599337200,26.51,1599374400
2,2020-09-07,Humid and partly cloudy throughout the day.,rain,1599436920,1599482040,0.67,0.4453,1.1113,1599469500,0.62,rain,25.23,1599465960,17.75,1599523020,26.36,1599466380,19.12,1599523080,20.72,1.0,1007.4,0.82,2.21,1599460200,176,0.56,10,1599458040,14.886,260.4,18.04,1599436800,25.23,1599465960,19.4,1599436800,26.36,1599466380
3,2020-09-08,Humid and overcast throughout the day.,rain,1599523320,1599568380,0.7,0.3734,1.3923,1599555480,0.57,rain,25.22,1599546360,17.63,1599609540,26.17,1599547380,19.18,1599609600,20.64,1.0,1008.1,0.86,2.24,1599546300,150,0.76,6,1599546000,15.947,262.5,17.75,1599523020,25.22,1599546360,19.12,1599523080,26.17,1599547380
4,2020-09-09,Rain in the morning.,rain,1599609780,1599654720,0.73,0.8942,3.6472,1599630960,0.69,rain,25.13,1599639840,17.21,1599695880,26.09,1599640140,18.42,1599696000,20.47,1.0,1007.6,0.59,1.24,1599631500,152,0.99,6,1599632280,11.009,259.8,17.63,1599609540,25.13,1599639840,19.18,1599609600,26.09,1599640140
5,2020-09-10,Humid and mostly cloudy throughout the day.,rain,1599696180,1599741060,0.76,0.3128,0.6431,1599738720,0.52,rain,24.94,1599721620,17.33,1599782100,25.64,1599722940,18.21,1599782220,20.27,0.99,1004.8,0.74,1.4,1599721620,188,0.85,7,1599719520,14.882,251.2,17.21,1599695880,24.94,1599721620,18.42,1599696000,25.64,1599722940
6,2020-09-11,Humid and overcast throughout the day.,rain,1599782640,1599827400,0.79,0.3461,1.1462,1599814680,0.58,rain,25.14,1599806580,17.65,1599868440,25.86,1599808020,18.66,1599868560,20.41,0.98,1005.7,0.92,2.29,1599814380,134,0.91,7,1599805920,14.994,251.1,17.33,1599782100,25.14,1599806580,18.21,1599782220,25.86,1599808020
7,2020-09-12,Possible light rain overnight.,rain,1599869040,1599913680,0.82,0.3189,0.6833,1599902460,0.64,rain,26.77,1599896340,18.48,1599955020,29.55,1599897060,19.8,1599955260,21.29,0.98,1007.7,0.93,2.25,1599916680,120,0.91,7,1599892560,9.638,254.0,17.65,1599868440,26.77,1599896340,18.66,1599868560,29.55,1599897060
