district,formal_name,measuring_type,lat,long,elevation (mtr)
Achham,Asara Ghat,Precipitation,28.95029444,81.44431944,632
ACHHAM,BASTI,Precipitation-off,29.03098333,81.17113333,474
Achham,Mangalsen,Climatology,29.13611389,81.25009167,1310
ACHHAM,SUGALI,PRECIPITATION,29.17980694,81.37293889,1668
Arghakhanchi,RANGSING,Precipitation,27.80330278,82.78400833,333
Arghakhanchi,Sandhikharka,Climate,27.96402222,83.12056944,1030
Arghakhanchi,SIDHARA,Precipitation,27.7945,82.82838333,371
Baglung,Baglung,Climatology,28.26363611,83.60032222,964
Baglung,Dhorpatan,Climatology,28.48333333,83.08333333,2820
BAGLUNG,GALKOT,PRECIPITATION,28.21869167,83.41881111,1162
Baglung,Rangkhani,Precipitation,28.14408889,83.55824444,1728
Baitadi,Patan (West),Climatology,29.467137,80.5457511,1292
Baitadi,Satbanjh,Precipitation,29.4973,80.49741194,1881
Bajhang,Chainpur (West),Climatology-off,29.55,81.21666667,1304
Bajhang,Chainpur Bajhang AWS climate,Climatology,29.54589,81.20114,1405
BAJHANG,KALUKHETI,PRECIPITATION,29.44736,81.16838,1447
BAJHANG,RAYAL,Precipitation,29.464595,80.95405,919
Bajura,Bajura (Martadi),Climatology,29.45697889,81.48038389,1598
BAJURA,KAILASMANDU,PRECIPITATION,29.35291694,81.33385889,917
BAJURA,KOLTI,Precipitation,29.50348694,81.66617611,1411
BANKE,Amlekhganj,PRECIPITATION,27.94748333,81.78569444,137
Banke,DHAKERI,Aeronautical,28.10055556,81.66824722,165
Banke,Khajura (Nepalganj),Agrometeorology,28.11368333,81.59030556,129
Banke,Naubasta,Precipitation,28.230225,81.65270278,161
Banke,Nepalgunj Airport,Climatology,28.0519944,81.6228389,141
Bara,Gulariya,Aeronautical,27.1641667,84.98,137
Bara,Kalaiya,Agrometeorology,27.079,84.9329,87
Bara,Nijgadh,Aeronautical,27.16416667,84.98,137
Bara,Parwanipur,Precipitation,27.20300556,85.170475,244
Bara,Simara Airport,Precipitation-off,27.2813,84.9919,310
Bardiya,Chisapani(Karnali),Climatology,28.21278611,81.34521111,126
Bardiya,KUMALGAUN,Climatology,28.33735833,81.33784167,145
BARDIYA,MANPUR,PRECIPITATION,28.36353889,81.41428333,150
Bardiya,Rajapur,Climatology,28.64721944,81.28542778,201
BARDIYA,RAMBHAPUR,PRECIPITATION,28.307825,81.27586389,141
Bardiya,Rani Jaruwa Nursery,Precipitation,28.42588611,81.33803611,166
Bhaktapur,Bhaktapur,Precipitation,27.63333333,85.43333333,1420
Bhaktapur,Changu Narayan,Climatology,27.67668056,85.42396944,1315
Bhaktapur,Nagarkot,Precipitation,27.645725,85.4615833,1413
Bhaktapur,Sanga,Climatology,27.71605833,85.42675556,1502
Bhojpur,Dingla,Agrometeorology,27.1944798,87.0486266,1595
Bhojpur,Rampur,Precipitation,27.5282716,87.2177064,1169
Chitawan,Bharatpur,Precipitation,27.5909,84.5223,177
CHITAWAN,BHARATPUR,Precipitation-off,27.72113611,84.58525556,333
Chitawan,Jhuwani,Agrometeorology,27.654025,84.3507944,189
Chitwan,Gobindabasti,"Rainfall,Tipping Bucket",27.4231715,84.3037409,221
CHITWAN,MADI KALYANPUR,PRECIPITATION,27.5804833,84.2242222,157
CHITWAN,MEGHAULI,PRECIPITATION,27.67303333,84.42227222,213
Dadeldhura,Dadeldhura,Synoptic,29.301352,80.58775194,1879
DADELDHURA,Dailekh,PRECIPITATION,29.12785778,80.34740778,379
DADELDHURA,SAHUKHARKA,PRECIPITATION,29.2883931,80.373015,1458
Dailekh,Bale Budha (Tallo Dhungeshwor),Climatology,28.83811111,81.70848333,1394
DAILEKH,KATTI,PRECIPITATION,28.92202778,81.62608333,1281
DAILEKH,Nayabasti (Dang),PRECIPITATION,28.78022222,81.82144444,1224
DAILEKH,RANIMATTA,PRECIPITATION,28.90711111,81.75019167,1472
Dang,Ghorahi (Masina),Climatology,28.13174722,82.30278333,683
Dang,Ghorai (Dang),Precipitation,27.69233306,82.52512694,200
Dang,Koilabas,Precipitation-off,28.05,82.5,725
DANG,LALMATIYA,PRECIPITATION,27.87055556,82.53666667,243
DANG,LAMAHI,PRECIPITATION,27.88486889,82.33509611,216
Dang,PADHAMPUR,Synoptic,28.03719889,82.484156,663
Dang,Tulsipur,Precipitation,28.201323,82.1393939,685
DARCHULA,Darchula New,PRECIPITATION-off,29.666667,80.55,\N
DARCHULA,DHAULATIYA (Dallekhdhar),PRECIPITATION,29.78255194,80.82215806,1653
Darchula,Gokuleshwar,Climatology,29.84287806,80.53884806,887
Darchula,LUMPTHI,Climatology,29.84496194,80.54539389,945
Dhading,Dhading,Precipitation-off,28.05,84.82,518
Dhading,Dhunibesi,Climatology-off,27.9125056,84.8961333,630
Dhading,Gajuri,Precipitation,27.8053359,84.7055012,327
Dhading,Majhimtar,Climatology,27.72311667,85.1642,991
Dhading,Pakhribas,Precipitation,27.8027074,84.8797782,430
Dhankuta,Barahkshetra,Precipitation,26.91424278,87.15986,146
Dhankuta,Dhankuta,Precipitation-off,27.0500025,87.24444444,1457
Dhankuta,Dhankuta,Precipitation,26.93805556,87.15472222,168
Dhankuta,Leguwa Ghat,Agrometeorology,27.04633889,87.2925,1720
Dhankuta,Muga,Precipitation,27.15338889,87.28919444,446
Dhankuta,Mul Ghat,Synoptic,26.98321944,87.34595556,1192
Dhankuta,Utinpur,Synoptic,26.98321944,87.34595556,1192
Dhanusa,Chisapani Bazar,Precipitation,27.01295556,85.92089722,271
Dhanusa,Janakpur Airport,Climatology,26.8,85.9833333,93
Dhanusa,Tulsi,Precipitation,26.71666667,85.96666667,90
Dolakha,Nagdaha,Climatology,27.6166667,86.35,3120
Dolakha,Charikot,Precipitation,27.67633111,86.10399389,909
Dolakha,Dunai,Agrometeorology,27.63333333,86.13333333,1755
Dolakha,Jiri,Climatology-off,27.6666667,86.05,1940
DOLPA,KAIGAUN,Precipitation,29.03154722,82.76287778,2440
DOLPA,Silgadhi Doti,PRECIPITATION,28.98363333,82.82074444,2475
Doti,Dipayal (Doti),Precipitation,29.12015194,80.70944778,1364
DOTI,DUMRAKOT,PRECIPITATION,29.16385278,80.600738,1856
DOTI,GAIRA,PRECIPITATION,29.34106083,81.045105,2249
Doti,JHINGRANA,Synoptic,29.26209694,80.93690083,563
Doti,Khaptad,Precipitation,29,81.13333333,1388
Doti,Kola Gaun,Precipitation-off,29.38804889,81.14630111,3068
GORKHA,BARPAK,Precipitation,28.2,84.73333333,\N
Gorkha,Chhekampar,Agrometeorology,27.97138889,84.58944444,724
Gorkha,CHUMCHET,Precipitation-off,28.48333333,85,3300
Gorkha,Gorkha,Precipitation,28.66666667,84.61666667,3650
GORKHA,Laprak,PRECIPITATION,28.2,84.75,1889
Gorkha,SAMA GAUN,Precipitation,28.42693611,84.90264444,\N
GULMI,Darma,Precipitation,27.9365,83.33811667,960
Gulmi,Musikot,Precipitation,27.93856667,83.44315278,494
Gulmi,Tamghas,Precipitation,28.16998056,83.26802778,1353
Humla,Simikot,Precipitation,29.73056889,82.07185,2288
HUMLA,Simikot Airport,PRECIPITATION,29.77827806,81.952645,1680
HUMLA,THALI,Precipitation,29.91966194,81.87920194,2230
Ilam,Ilam Tea Estate,Climatology,27.06666667,88,3050
Ilam,Himali Gaun,Climatology,26.90963889,87.92308333,1208
Ilam,Kanyam Tea Estate,Climate,26.8,87.9,530
Ilam,Soktim Tea E,Precipitation,26.88652778,88.02738889,1654
Jajarkot,BHANU THANA,Precipitation,28.961315,82.268888,1913
Jajarkot,Maina Gaun (D.Bas),Climatology,28.69860389,82.200792,1240
Jhapa,Anarmani Birta,Climatology,26.6706658,87.7004293,119
Jhapa,Chnadra Gadhi,Climatology,26.39616667,88.00375,71
Jhapa,Gaida (Kankai),Precipitation,26.68972222,87.98861111,168
Jhapa,Jumla,Rainfall,26.5647011,88.0614307,90
Jhapa,Kechana,Climatology,26.65688889,87.86072222,107
Jhapa,Sanischare,Precipitation,26.6250639,87.9885806,122
Jumla,Dipal Gaun,Precipitation,29.23088056,82.33041944,2727
JUMLA,JACHA,PRECIPITATION,29.43111111,82.10744444,2785
Jumla,Jumla,Climatology,29.26385556,82.22301111,2422
JUMLA,TATOPANI,PRECIPITATION,29.316667,82.283333,2438
Kabhre,Budal (Banepa),Climatology,27.61611667,85.56550278,1543
Kabhre,Dhulikhel,Precipitation,27.63882194,85.70498083,659
Kabhre,Dolal Ghat,Precipitation,27.69382389,85.635637,1358
Kabhre,Panchkhal,Precipitation,27.63333333,85.51666667,1475
Kailali,Dhangadhi,NA,28.68333333,80.6,187
Kailali,Godavari(West),Precipitation,28.554055,80.831765,148
Kailali,MALAKHETI,Climatology-off,28.83333333,80.56666667,190
Kailali,Sitapur,Precipitation,28.66417611,80.97850889,159
Kailali,Teghari,Climatology,28.87623,80.57918889,280
KALIKOT,Mahendra Nagar,PRECIPITATION,29.09644444,81.70052778,1732
Kalikot,MANMA,Precipitation,29.2495,81.63913889,1822
Kalikot,Nagma,Precipitation,29.12995833,81.58836111,1090
KANCHANPUR,DODHARA,PRECIPITATION,28.86185889,80.44044194,189
Kanchanpur,HANMANNAGAR,Precipitation,28.698575,80.37540389,164
KANCHANPUR,Taulihawa,PRECIPITATION,28.89702,80.36996389,195
Kapilbastu,BANGANGA,Precipitation,27.6699361,82.7911917,148
KAPILVASTU,BAHADUR GANJ,Precipitation,27.6932944,83.1612556,140
KAPILVASTU,Sallyan (Kaski),PRECIPITATION,27.55,83.85,\N
KASKI,BEGNAS,Precipitation,28.2120111,83.8915417,1565
Kaski,Begnas Tal,Precipitation,28.35805556,84.105175,1996
Kaski,Bhadaure Deurali,Agrometeorology,28.21849444,83.9742,859
Kaski,Ghandruk,Precipitation,28.26168056,83.96873333,992
Kaski,Lamachaur,Agrometeorology,28.29653889,83.81791111,1738
Kaski,Lumle,Precipitation,28.26555556,83.82211944,1617
Kaski,Pokhara Airport,Climatology,28.23333333,84,866
Kaski,Pokhara Airport,Climatology-off,28.22,84,827
Kathmandu,Budhanilakan,Precipitation,27.78333333,85.31666667,1712
Kathmandu,Kathmandu Airport,Aeronautical,27.703825,85.35624722,1337
Kathmandu,Naikap,Precipitation,27.7726953,85.4277003,1658
Kathmandu,Pharping,Precipitation,27.76666667,85.31666667,1390
Kathmandu,Sankhu,Climatology,27.73333333,85.33333333,1326
Kathmandu,Sivapuri,Precipitation,27.75,85.43333333,1357
Kathmandu,Sundarijal,Precipitation,27.8,85.43333333,1790
Kathmandu,Tarebhir,Precipitation,27.78419167,85.29049444,1409
Kathmandu,Thankot,Climatology,27.73333333,85.33333333,1324
Kathmandu,Tokha,Precipitation,27.7972222,85.3577778,1442
Khotang,Diktel,Precipitation,27.02930083,86.84337278,1305
Khotang,Dwarpa,Precipitation,27.359795,86.7486619,2064
Khotang,Khotang Bazar,Precipitation,27.1408985,86.4317585,341
Khotang,Kurle Ghat,Climatology,27.21666667,86.85,1829
Lalitpur,Chapa Gaun,Precipitation,27.5666667,85.3166667,1524
Lalitpur,Godavari,Agrometeorology,27.68333333,85.3,1364
Lalitpur,Khokana,Precipitation,27.65,85.38333333,1341
Lalitpur,Khumaltar,Climatology,27.5929167,85.3788333,1527
Lalitpur,Kritipur (Bagban),Climatology,27.68333333,85.33333333,1303
Lalitpur,Lalitpur (Kopundol),Precipitation,27.659325,85.3697083,1305
Lalitpur,Lubhu,Precipitation,27.60325833,85.32656389,1478
Lalitpur,Tikathali,Precipitation,27.576825,85.3540444,1594
Lamiung,Khudi Bazar,Precipitation,28.12677778,84.34494167,820
LAMJUNG,BESISHAHAR,Precipitation,28.25596667,84.47929722,1278
LAMJUNG,BHORLETAR,Precipitation,28.21813889,84.24153889,1430
LAMJUNG,FALENI,PRECIPITATION,28.30964722,84.26600278,1690
LAMJUNG,Gausala,PRECIPITATION,28.07621667,84.47669444,588
Lamjung,Gharedhunga,Climatology,28.2822083,84.3454164,838
Mahottari,Chisapani Gadhi,Climatology,26.65224722,85.807275,68
Mahottari,Jalesore,Precipitation,26.88333333,85.78333333,200
Makwanpur,Daman,Precipitation,27.5599456,85.1386067,1729
Makwanpur,Hetanuda(Ind. Dist),Precipitation,27.619,85.1496,1535
Makwanpur,Makwanpur Gadhi,Precipitation,27.43333333,85.03333333,466
MAKWANPUR,Manang Bhot,PRECIPITATION,27.6350819,84.7416103,828
Makwanpur,Markhu Gaun,Climatology,27.4227,85.0279,452
Manang,GOGA,Climatology,28.63989694,84.08811583,3401
Manang,Humde,Precipitation,28.66627083,84.02257194,3556
Manang,NAAR,Precipitation-off,28.76666667,84.28333333,4100
Manang,Phu Gaun,Climatology-off,28.55,84.2333333,2680
Morang,Biratnagar,CLIMATOLOGY,29.2160678,83.983333,\N
Morang,Biratnagar Airport,Precipitation-off,26.61000889,87.37074778,93
Morang,Gam Shree Nagar,Precipitation,26.73416667,87.50166667,256
Morang,Haraincha,Precipitation,28.46717,84.3730739,1670
Morang,Letang,Climatology,26.46666667,87.28333333,67
Morang,Mugu,Aeronautical,26.483967,87.267006,72
MUGU,Jomsom,PRECIPITATION,29.50867889,81.89267389,1848
Mugu,MANGRI,Climatology,29.540125,82.081825,2989
Mugu,Rara,Precipitation-off,29.75,82.55,3803
MUGU,SEROGE,PRECIPITATION,29.58904306,82.30580306,2257
Mustang,Lete,Climatology,28.78401111,83.72981667,2741
Mustang,Mustang(Lomangthang),Precipitation,28.81555556,83.86222222,3671
Mustang,Ranipauwa (M.Nath),Agrometeorology,28.73887222,83.68183333,2655
Mustang,Tatopani,Precipitation,28.9,83.68333333,3570
Myagdi,Bega,Precipitation,28.4,83.73333333,2742
Myagdi,Beni Bazar,Climatology,29.22713194,83.979815,3886
Myagdi,Dumkauli,Precipitation,28.56666667,83.38333333,2330
Myagdi,Ghorepani,Climatology,28.35083333,83.56666667,835
Myagdi,Muna,Precipitation,28.44271389,83.576185,1682
Nawalparasi,Bara Ghat,Agrometeorology,27.680675,84.2285417,183
Nawalparasi,Dumkibas,Climatology,27.51925,83.66218333,112
Nawalparasi,Parasi,Precipitation,27.67488333,84.07438333,237
Nawalparasi,Rambas,Precipitation,27.56666667,82.95,150
Nawalparasi,Trisuli,Precipitation,27.68333333,84.13333333,258
Nuwakot,Kakani,Climatology,27.91666667,85.15,595
Nuwakot,Mane Bhanjyang,Precipitation,28.02851111,85.10623056,1982
Nuwakot,Pansayakhola,Agrometeorology,27.8169703,85.2323034,1828
Nuwakot,Ranipauwa,Climatology,27.914975,85.16463889,966
Okhaldhunga,Gandakot,Synoptic,27.30812083,86.504225,1731
Okhaldhunga,Okhaldhunga,Synoptic,27.30812083,86.504225,1731
Okhaldhunga,Tansen,Precipitation,27.21472694,86.44435778,1529
PALPA,ARCHALE,Precipitation,27.8081073,83.3131389,1640
Palpa,BALDYANGGADI,Climatology,27.86366111,83.53871111,1183
PALPA,CHAMEHAT,Precipitation,27.80605556,83.72636111,1512
Palpa,JALPA,Precipitation,27.86541111,83.95603056,519
Panchther,Angbung,Climate,27.68333333,87.81666667,2818
Panchther,DEDHGAUNTAR,Climatology,27.26666667,87.71666667,1219
Panchther,DEURALI NAWAL,Climatology,27.14367389,87.765595,1157
Panchther,Phidim (Panchther),Precipitation,27.185503,87.9297869,1590
PARASI,BARDAGHAT,PRECIPITATION,27.85150833,84.07735,379
PARASI,TRIBENI,Precipitation,27.67980278,83.778675,238
Parbat,Birganj,Precipitation,28.03413889,83.64522222,673
Parbat,Kushma,Precipitation,27.45344167,83.93234444,118
Parbat,Tribeni,Precipitation,28.1772667,83.7485405,1642
PARSA,PHOPLI,PRECIPITATION-off,27.36333333,84.57861111,243
Parsa,SEULIBANG,Climatology-off,27.0230973,84.8781879,67
Parsa,THORI,Precipitation,28.12732222,83.63470833,731
PYUTHAN,HANSPUR,PRECIPITATION,28.1859611,82.8746222,1641
Pyuthan,Manthali,Cliamte,28.1035587,82.8520192,835
PYUTHAN,SWARGDWARI,PRECIPITATION,28.31149167,82.94999444,1685
Ramechhap,Timure,Precipitation,27.31666667,86.08333333,1395
Rasuwa,Dhunche,Climatology,28.15,85.26666667,2350
Rasuwa,Gatlang,Climatology,28.253325,85.366225,1725
Rasuwa,KEUR GAUN,Climatology,28.21666667,85.18333333,4091
Rasuwa,Paigutang,Precipitation,28.18352222,85.30183889,1770
ROLPA,DANMAN,PRECIPITATION,28.4229,82.36280556,2145
ROLPA,Ramoli Bairiya,Precipitation-off,28.233333,82.483333,\N
Rolpa,RULBANG (Juwang),Climatology,28.3061972,82.6323139,1314
ROLPA,SULICHOUR(SARICHOUR),Precipitation,28.30602222,82.76488889,1046
Routahat,Gaur,PRECIPITATION,28.24721944,82.72918611,845
Routahat,Rukumkot,Precipitation,27.01584722,85.38070833,152
Routahat,Shera Gaun,Climatology-off,26.7671,85.3130333,77
Rukum,Butwal,Climatology,28.61844,82.46220194,1412
Rukum,Chaurjhari Tar,Precipitation,28.61280306,82.62066389,1568
Rukum,KOTJHARI,Climatology,28.6539931,82.2103069,863
Rukum,Musikot(Rukumkot),Precipitation,28.5782581,82.8153731,2170
