,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-08,Humid and partly cloudy throughout the day.,rain,1599523500,1599568500,0.7,0.3733,0.7066,1599522720,0.48,rain,28.78,1599546780,21.4,1599608700,32.46,1599546900,22.61,1599608220,22.97,0.92,1008.3,0.81,2.11,1599584760,237,0.67,9,1599545760,15.527,268.1,21.57,1599522480,28.78,1599546780,22.88,1599522300,32.46,1599546900
1,2020-09-09,Humid and mostly cloudy throughout the day.,rain,1599609900,1599654840,0.73,0.3687,0.6955,1599597120,0.49,rain,29.56,1599634680,21.91,1599695100,33.51,1599635220,22.94,1599682020,22.98,0.91,1007.8,0.86,2.64,1599639120,153,0.84,8,1599631680,15.249,263.9,21.4,1599608700,29.56,1599634680,22.61,1599608220,33.51,1599635220
2,2020-09-10,Humid and overcast throughout the day.,rain,1599696360,1599741180,0.76,0.1883,0.7482,1599729360,0.46,rain,29.86,1599719640,21.48,1599781740,33.24,1599721080,22.53,1599781680,22.5,0.87,1005.2,0.97,2.34,1599718740,130,0.93,8,1599718020,16.093,259.4,21.91,1599695100,29.86,1599719640,22.94,1599682020,33.24,1599721080
3,2020-09-11,Humid and mostly cloudy throughout the day.,rain,1599782760,1599827520,0.79,0.466,1.0936,1599820860,0.5,rain,28.33,1599811740,21.62,1599867960,31.95,1599812760,22.65,1599867900,22.84,0.91,1006.0,1.03,2.57,1599795120,137,0.8,10,1599803940,15.332,256.6,21.48,1599781740,28.33,1599811740,22.53,1599781680,31.95,1599812760
4,2020-09-12,Humid and mostly cloudy throughout the day.,partly-cloudy-day,1599869220,1599913860,0.82,0.2159,0.8131,1599902220,0.3,rain,29.45,1599893040,21.78,1599954300,33.65,1599894120,22.81,1599954180,22.74,0.88,1007.6,1.06,2.39,1599898200,125,0.61,8,1599891960,15.874,257.4,21.62,1599867960,29.45,1599893040,22.65,1599867900,33.65,1599894120
5,2020-09-13,Humid and partly cloudy throughout the day.,rain,1599955620,1600000200,0.86,0.3857,0.7973,1599988920,0.52,rain,30.29,1599984780,21.25,1600040880,34.08,1599984120,22.22,1600040940,22.35,0.85,1008.1,1.05,2.39,1599979380,122,0.47,9,1599979740,14.632,262.2,21.78,1599954300,30.29,1599984780,22.81,1599954180,34.08,1599984120
6,2020-09-14,Rain in the morning.,rain,1600042020,1600086480,0.89,0.5195,1.423,1600073940,0.65,rain,29.22,1600066620,21.28,1600127220,33.12,1600066860,22.2,1600127220,22.07,0.86,1007.5,1.14,2.62,1600070400,111,0.71,7,1600066800,13.41,260.6,21.25,1600040880,29.22,1600066620,22.22,1600040940,33.12,1600066860
7,2020-09-15,Rain in the morning.,rain,1600128480,1600172820,0.93,0.4584,0.9458,1600149720,0.63,rain,27.38,1600153260,21.35,1600213440,30.21,1600153500,22.2,1600213500,21.94,0.88,1007.4,0.92,2.69,1600160580,86,0.75,8,1600152240,15.217,255.4,21.28,1600127220,27.38,1600153260,22.2,1600127220,30.21,1600153500
